X1	X2	cumul_pluvio
12.35	-16.59	1434.19798
12.7	-16.59	1222.049495
13.05	-16.59	1102.008081
13.75	-16.59	840.6676768
14.1	-16.59	755.2808081
14.45	-16.59	659.3111111
14.8	-16.59	587.0616162
15.15	-16.59	455.3747475
15.5	-16.59	396.7282828
12	-16.09	1925.980808
12.35	-16.09	1475.725253
12.7	-16.09	1246.348485
13.05	-16.09	1089.99899
13.4	-16.09	967.9606061
13.75	-16.09	766.3424242
14.1	-16.09	699.7727273
14.45	-16.09	616.6313131
14.8	-16.09	561.5959596
15.15	-16.09	509.8313131
15.5	-16.09	417.3888889
15.85	-16.09	361.1606061
16.2	-16.09	293.7252525
16.55	-16.09	237.2878788
16.9	-16.09	206.1646465
12	-15.59	1769.862626
12.35	-15.59	1429.054545
12.7	-15.59	1259.564646
13.05	-15.59	1039.334343
13.4	-15.59	842.4151515
13.75	-15.59	724.2525253
14.1	-15.59	636.0191919
14.45	-15.59	619.8242424
14.8	-15.59	545.7727273
15.15	-15.59	514.5979798
15.5	-15.59	451.1787879
15.85	-15.59	388.5323232
16.2	-15.59	324.8505051
16.55	-15.59	275.869697
16.9	-15.59	242.710101
11.3	-15.09	2379.266667
11.65	-15.09	2154.09697
12	-15.09	1806.267677
12.35	-15.09	1456.637374
12.7	-15.09	1237.537374
13.05	-15.09	1030.236364
13.4	-15.09	867.8434343
13.75	-15.09	741.1656566
14.1	-15.09	709.4636364
14.45	-15.09	639.0080808
14.8	-15.09	543.0454545
15.15	-15.09	484.7424242
15.5	-15.09	470.2565657
15.85	-15.09	394.4606061
16.2	-15.09	334.2414141
16.55	-15.09	1106.308081
16.9	-15.09	258.2444444
10.6	-14.59	3139.10202
10.95	-14.59	2768.556566
11.3	-14.59	2380.352525
11.65	-14.59	2019.205051
12	-14.59	1675.017172
12.35	-14.59	1479.444444
12.7	-14.59	1270.831313
13.05	-14.59	997.6161616
13.4	-14.59	842.3242424
13.75	-14.59	791.2181818
14.1	-14.59	744.0363636
14.45	-14.59	668.6414141
14.8	-14.59	584.9565657
15.15	-14.59	507.3333333
15.5	-14.59	443.7151515
15.85	-14.59	396.1464646
16.2	-14.59	327.0888889
16.55	-14.59	947.6323232
16.9	-14.59	274.6353535
10.25	-14.09	3044.450505
10.6	-14.09	2892.441414
10.95	-14.09	2555.550505
11.3	-14.09	2120.052525
11.65	-14.09	1992.582828
12	-14.09	1689.785859
12.35	-14.09	1473.89899
12.7	-14.09	1261.925253
13.05	-14.09	982.9666667
13.4	-14.09	916.4080808
13.75	-14.09	851.4363636
14.1	-14.09	775.4090909
14.45	-14.09	719.889899
14.8	-14.09	660.0575758
15.15	-14.09	576.4545455
15.5	-14.09	469.4545455
15.85	-14.09	381.2141414
16.2	-14.09	312.4070707
16.55	-14.09	281.4474747
16.9	-14.09	266.7878788
9.55	-13.59	3564.330303
9.9	-13.59	3370.760606
10.25	-13.59	3126.309091
10.6	-13.59	2781.747475
10.95	-13.59	2368.630303
11.3	-13.59	2152.875758
11.65	-13.59	1935.412121
12	-13.59	1735.335354
12.35	-13.59	1462.929293
12.7	-13.59	1233.011111
13.05	-13.59	1083.269697
13.4	-13.59	938.0040404
13.75	-13.59	859.1080808
14.1	-13.59	829.9313131
14.45	-13.59	807.7070707
14.8	-13.59	746.5050505
15.15	-13.59	640.1090909
15.5	-13.59	479.2777778
15.85	-13.59	381.7121212
16.2	-13.59	325.7313131
16.55	-13.59	272.8434343
16.9	-13.59	247.4434343
9.2	-13.09	3227.735354
9.55	-13.09	3137.956566
9.9	-13.09	2771.520202
10.25	-13.09	2570.942424
10.6	-13.09	2497.374747
10.95	-13.09	2156.369697
11.3	-13.09	2081.530303
11.65	-13.09	1959.319192
12	-13.09	1680.733333
12.35	-13.09	1416.011111
12.7	-13.09	1208.463636
13.05	-13.09	1008.180808
13.4	-13.09	886.7020202
13.75	-13.09	806.2484848
14.1	-13.09	843.6525253
14.45	-13.09	915.230303
14.8	-13.09	820.3515152
15.15	-13.09	599.1626263
15.5	-13.09	432.8676768
15.85	-13.09	363.3717172
16.2	-13.09	312.3343434
16.55	-13.09	260.4737374
16.9	-13.09	228.9505051
9.2	-12.59	2750.844444
9.55	-12.59	2557.405051
9.9	-12.59	2392.717172
10.25	-12.59	2118.329293
10.6	-12.59	2022.9
10.95	-12.59	1974.806061
11.3	-12.59	1826.471717
11.65	-12.59	1726.910101
12	-12.59	1548.378788
12.35	-12.59	1350.005051
12.7	-12.59	1182.153535
13.05	-12.59	1077.210101
13.4	-12.59	949.259596
13.75	-12.59	857.2191919
14.1	-12.59	778.3505051
14.45	-12.59	718.8656566
14.8	-12.59	661.2313131
15.15	-12.59	532.9424242
15.5	-12.59	418.1272727
15.85	-12.59	386.0777778
16.2	-12.59	321.6747475
16.55	-12.59	271.0262626
16.9	-12.59	210.8585859
9.2	-12.09	2706.036364
9.55	-12.09	2458.172727
9.9	-12.09	2143.733333
10.25	-12.09	1958.59798
10.6	-12.09	1820.6
10.95	-12.09	1696.994949
11.3	-12.09	1689.666667
11.65	-12.09	1554.353535
12	-12.09	1443.29596
12.35	-12.09	1295.737374
12.7	-12.09	1229.79899
13.05	-12.09	1123.375758
13.4	-12.09	999.7161616
13.75	-12.09	852.4808081
14.1	-12.09	786.0242424
14.45	-12.09	693.0707071
14.8	-12.09	560.2828283
15.15	-12.09	512.2828283
15.5	-12.09	414.3929293
15.85	-12.09	348.9111111
16.2	-12.09	309.1242424
16.55	-12.09	264.4010101
16.9	-12.09	225.4161616
9.2	-11.59	2512.794949
9.55	-11.59	2188.985859
9.9	-11.59	1936.360606
10.25	-11.59	1788.215152
10.6	-11.59	1664.840404
10.95	-11.59	1593.834343
11.3	-11.59	1561.582828
11.65	-11.59	1468.528283
12	-11.59	1363.99596
12.35	-11.59	1301.326263
12.7	-11.59	1214.677778
13.05	-11.59	1130.5
13.4	-11.59	1028.051515
13.75	-11.59	916.9010101
14.1	-11.59	895.8343434
14.45	-11.59	734.3121212
14.8	-11.59	624.5222222
15.15	-11.59	478.3343434
15.5	-11.59	364.7030303
15.85	-11.59	349.7090909
16.2	-11.59	331.8424242
16.55	-11.59	292.0393939
16.9	-11.59	220.6040404
9.2	-11.09	2269.252525
9.55	-11.09	1969.066667
9.9	-11.09	1720.785859
10.25	-11.09	1570.832323
10.6	-11.09	1477.162626
10.95	-11.09	1408.821212
11.3	-11.09	1444.027273
11.65	-11.09	1374.945455
12	-11.09	1364.127273
12.35	-11.09	1300.672727
12.7	-11.09	1282.725253
13.05	-11.09	1162.80404
13.4	-11.09	1017.492929
13.75	-11.09	914.9343434
14.1	-11.09	829.3242424
14.45	-11.09	754.8686869
14.8	-11.09	680.7242424
15.15	-11.09	533.8929293
15.5	-11.09	427.2171717
15.85	-11.09	374.8848485
16.2	-11.09	310.310101
16.55	-11.09	269.9070707
16.9	-11.09	215.1212121
9.2	-10.59	2125.006061
9.55	-10.59	1853.936364
9.9	-10.59	1628.752525
10.25	-10.59	1487.737374
10.6	-10.59	1502.188889
10.95	-10.59	1456.258586
11.3	-10.59	1374.051515
11.65	-10.59	1384.410101
12	-10.59	1333.5
12.35	-10.59	1312.329293
12.7	-10.59	1251.628283
13.05	-10.59	1157.268687
13.4	-10.59	1007.158586
13.75	-10.59	913.3616162
14.1	-10.59	900.7656566
14.45	-10.59	831.7979798
14.8	-10.59	725.4929293
15.15	-10.59	550.6525253
15.5	-10.59	425.4424242
15.85	-10.59	351.7555556
16.2	-10.59	300.3757576
16.55	-10.59	250.8141414
16.9	-10.59	221.0787879
9.2	-10.09	2101.793939
9.55	-10.09	1914.630303
9.9	-10.09	1705.526263
10.25	-10.09	1600.375758
10.6	-10.09	1528.058586
10.95	-10.09	1449.175758
11.3	-10.09	1389.40101
11.65	-10.09	1361.382828
12	-10.09	1316.128283
12.35	-10.09	1260.967677
12.7	-10.09	1223.063636
13.05	-10.09	1097.232323
13.4	-10.09	1006.638384
13.75	-10.09	955.6525253
14.1	-10.09	901.9585859
14.45	-10.09	843.5151515
14.8	-10.09	742.9141414
15.15	-10.09	574.8161616
15.5	-10.09	403.1111111
15.85	-10.09	338.6858586
16.2	-10.09	292.8535354
16.55	-10.09	254.1383838
16.9	-10.09	239.3474747
9.2	-9.59	2181.879798
9.55	-9.59	1953.749495
9.9	-9.59	1773.547475
10.25	-9.59	1648.571717
10.6	-9.59	1558.424242
10.95	-9.59	1472.531313
11.3	-9.59	1380.046465
11.65	-9.59	1333.29697
12	-9.59	1321.805051
12.35	-9.59	1200.511111
12.7	-9.59	1193.614141
13.05	-9.59	1051.429293
13.4	-9.59	953.0707071
13.75	-9.59	893.4979798
14.1	-9.59	857.5656566
14.45	-9.59	792.4737374
14.8	-9.59	707.4111111
15.15	-9.59	606.1383838
15.5	-9.59	453.1787879
15.85	-9.59	329.7979798
16.2	-9.59	287.9969697
16.55	-9.59	271.4888889
16.9	-9.59	225.7313131
9.2	-9.09	2006.362626
9.55	-9.09	1848.139394
9.9	-9.09	1706.613131
10.25	-9.09	1616.731313
10.6	-9.09	1525.079798
10.95	-9.09	1444.737374
11.3	-9.09	1356.959596
11.65	-9.09	1270.378788
12	-9.09	1247.065657
12.35	-9.09	1180.834343
12.7	-9.09	1169.848485
13.05	-9.09	1040.139394
13.4	-9.09	939.0454545
13.75	-9.09	892.5848485
14.1	-9.09	798.8818182
14.45	-9.09	730.4484848
14.8	-9.09	670.8212121
15.15	-9.09	540.8727273
15.5	-9.09	420.230303
15.85	-9.09	310.8929293
16.2	-9.09	258.6171717
16.55	-9.09	234.1939394
16.9	-9.09	208.0979798
9.2	-8.59	1784.705051
9.55	-8.59	1709.553535
9.9	-8.59	1581.00202
10.25	-8.59	1507.281818
10.6	-8.59	1386.237374
10.95	-8.59	1370.880808
11.3	-8.59	1289.314141
11.65	-8.59	1264.562626
12	-8.59	1202.945455
12.35	-8.59	1202.091919
12.7	-8.59	1077.276768
13.05	-8.59	1018.833333
13.4	-8.59	929.7535354
13.75	-8.59	880.2868687
14.1	-8.59	781.4989899
14.45	-8.59	678.6575758
14.8	-8.59	617.0717172
15.15	-8.59	539.8717172
15.5	-8.59	423.9282828
15.85	-8.59	321.3313131
16.2	-8.59	263.6808081
16.55	-8.59	229.0636364
16.9	-8.59	192.9575758
9.2	-8.09	1598.857576
9.55	-8.09	1567.409091
9.9	-8.09	1526.315152
10.25	-8.09	1417.076768
10.6	-8.09	1341.59596
10.95	-8.09	1209.222222
11.3	-8.09	1189.080808
11.65	-8.09	1210.347475
12	-8.09	1133.330303
12.35	-8.09	1055.269697
12.7	-8.09	1043.360606
13.05	-8.09	1039.20202
13.4	-8.09	970.5838384
13.75	-8.09	860.3949495
14.1	-8.09	736.6545455
14.45	-8.09	631.9515152
14.8	-8.09	552.1656566
15.15	-8.09	451.5565657
15.5	-8.09	364.8131313
15.85	-8.09	312.3858586
16.2	-8.09	298.9636364
16.55	-8.09	248.9424242
16.9	-8.09	212.5353535
9.2	-7.59	1522.440404
9.55	-7.59	1528.122222
9.9	-7.59	1420.854545
10.25	-7.59	1359.518182
10.6	-7.59	1264.028283
10.95	-7.59	1175.578788
11.3	-7.59	1204.359596
11.65	-7.59	1199.888889
12	-7.59	1140.469697
12.35	-7.59	1066.540404
12.7	-7.59	971.9979798
13.05	-7.59	946.5151515
13.4	-7.59	916.5585859
13.75	-7.59	785.5080808
14.1	-7.59	678.3787879
14.45	-7.59	591.510101
14.8	-7.59	507.3525253
15.15	-7.59	435.6868687
15.5	-7.59	389.2272727
15.85	-7.59	332.769697
16.2	-7.59	298.8878788
16.55	-7.59	267.4050505
16.9	-7.59	212.8626263
9.2	-7.09	1469.144444
9.55	-7.09	1462.057576
9.9	-7.09	1296.722222
10.25	-7.09	1237.991919
10.6	-7.09	1188.059596
10.95	-7.09	1155.481818
11.3	-7.09	1108.371717
11.65	-7.09	1097.536364
12	-7.09	1069.675758
12.35	-7.09	1019.130303
12.7	-7.09	944.0909091
13.05	-7.09	895.9575758
13.4	-7.09	771.8525253
13.75	-7.09	709.7989899
14.1	-7.09	639.9282828
14.45	-7.09	548.140404
14.8	-7.09	511.1363636
15.15	-7.09	442.8222222
15.5	-7.09	375.1747475
15.85	-7.09	328.6858586
16.2	-7.09	289.0171717
16.55	-7.09	262.8090909
16.9	-7.09	196.9131313
9.2	-6.59	1476.70101
9.55	-6.59	1447.546465
9.9	-6.59	1275.960606
10.25	-6.59	1237.840404
10.6	-6.59	1121.967677
10.95	-6.59	1158.868687
11.3	-6.59	1130.579798
11.65	-6.59	1058.638384
12	-6.59	1065.607071
12.35	-6.59	1014.430303
12.7	-6.59	903.0676768
13.05	-6.59	856.6676768
13.4	-6.59	720.2060606
13.75	-6.59	658.0646465
14.1	-6.59	617.9151515
14.45	-6.59	574.9555556
14.8	-6.59	507.6333333
15.15	-6.59	454.8111111
15.5	-6.59	364.4343434
15.85	-6.59	309.1090909
16.2	-6.59	249.4727273
16.55	-6.59	217.910101
16.9	-6.59	182.7040404
9.2	-6.09	1370.713131
9.55	-6.09	1340.047475
9.9	-6.09	1273.944444
10.25	-6.09	1289.328283
10.6	-6.09	1200.734343
10.95	-6.09	1136.133333
11.3	-6.09	1151.257576
11.65	-6.09	1172.517172
12	-6.09	1076.265657
12.35	-6.09	1022.314141
12.7	-6.09	921.2767677
13.05	-6.09	854.9515152
13.4	-6.09	734.4313131
13.75	-6.09	682.8333333
14.1	-6.09	615.7212121
14.45	-6.09	587.8323232
14.8	-6.09	521.030303
15.15	-6.09	434.7191919
15.5	-6.09	337.0141414
15.85	-6.09	283.0606061
16.2	-6.09	240.6262626
16.55	-6.09	209.3959596
16.9	-6.09	195.3272727
9.2	-5.59	1260.791919
9.55	-5.59	1331.668687
9.9	-5.59	1262.892929
10.25	-5.59	1243.875758
10.6	-5.59	1195.312121
10.95	-5.59	1148.031313
11.3	-5.59	1129.477778
11.65	-5.59	1087.360606
12	-5.59	1049.876768
12.35	-5.59	1007.976768
12.7	-5.59	936.1646465
13.05	-5.59	900.4494949
13.4	-5.59	889.6343434
13.75	-5.59	729.3969697
14.1	-5.59	625.0151515
14.45	-5.59	555.8292929
14.8	-5.59	476.6191919
15.15	-5.59	387.9242424
15.5	-5.59	332.6434343
15.85	-5.59	275.5393939
16.2	-5.59	246.1353535
16.55	-5.59	205.1010101
16.9	-5.59	189.6555556
9.2	-5.09	1171.439394
9.55	-5.09	1242.659596
9.9	-5.09	1254.758586
10.25	-5.09	1211.976768
10.6	-5.09	1141.876768
10.95	-5.09	1118.363636
11.3	-5.09	1135.125253
11.65	-5.09	1086.355556
12	-5.09	1032.550505
12.35	-5.09	1009.747475
12.7	-5.09	900.2787879
13.05	-5.09	825.810101
13.4	-5.09	755.7050505
13.75	-5.09	670.5080808
14.1	-5.09	630.1868687
14.45	-5.09	528.0141414
14.8	-5.09	443.5777778
15.15	-5.09	385.2343434
15.5	-5.09	325.2181818
15.85	-5.09	299.4515152
16.2	-5.09	251.2121212
16.55	-5.09	207.1151515
16.9	-5.09	186.0818182
9.2	-4.59	1147.231313
9.55	-4.59	1165.694949
9.9	-4.59	1174.442424
10.25	-4.59	1143.285859
10.6	-4.59	1137.282828
10.95	-4.59	1104.456566
11.3	-4.59	1102.087879
11.65	-4.59	1073.711111
12	-4.59	1061.40101
12.35	-4.59	972.4727273
12.7	-4.59	928.5080808
13.05	-4.59	876.6575758
13.4	-4.59	789.0565657
13.75	-4.59	677.3737374
14.1	-4.59	602.3373737
14.45	-4.59	525.2878788
14.8	-4.59	454.7050505
15.15	-4.59	402.6040404
15.5	-4.59	371.189899
15.85	-4.59	311.0636364
16.2	-4.59	267.8090909
16.55	-4.59	225.2444444
16.9	-4.59	190.0181818
9.2	-4.09	1146.033333
9.55	-4.09	1139.581818
9.9	-4.09	1140.668687
10.25	-4.09	1124.235354
10.6	-4.09	1108.266667
10.95	-4.09	1063.660606
11.3	-4.09	1114.294949
11.65	-4.09	990.0626263
12	-4.09	952.1959596
12.35	-4.09	914.2353535
12.7	-4.09	857.6070707
13.05	-4.09	836.8737374
13.4	-4.09	787.2868687
13.75	-4.09	688.9494949
14.1	-4.09	579.8666667
14.45	-4.09	543.2969697
14.8	-4.09	506.0828283
15.15	-4.09	443.3242424
15.5	-4.09	390.1929293
15.85	-4.09	341.1989899
16.2	-4.09	294.5030303
16.55	-4.09	234.9505051
16.9	-4.09	614.4131313
9.2	-3.59	1130.436364
9.55	-3.59	1137.542424
9.9	-3.59	1118.431313
10.25	-3.59	1122.870707
10.6	-3.59	1046.909091
10.95	-3.59	1031.5
11.3	-3.59	1024.392929
11.65	-3.59	972.9494949
12	-3.59	991.659596
12.35	-3.59	887.0252525
12.7	-3.59	779.9030303
13.05	-3.59	691.5767677
13.4	-3.59	694.1727273
13.75	-3.59	626.8909091
14.1	-3.59	588.9636364
14.45	-3.59	569.2363636
14.8	-3.59	530.7010101
15.15	-3.59	430.7979798
15.5	-3.59	368.7969697
15.85	-3.59	325.2050505
16.2	-3.59	274.7969697
16.55	-3.59	243.8676768
16.9	-3.59	684.7393939
9.2	-3.09	1124.585859
9.55	-3.09	1140.631313
9.9	-3.09	1141.035354
10.25	-3.09	1052.188889
10.6	-3.09	992.0232323
10.95	-3.09	1025.964646
11.3	-3.09	1048.654545
11.65	-3.09	977.5313131
12	-3.09	896.5828283
12.35	-3.09	856.3333333
12.7	-3.09	774.1080808
13.05	-3.09	733.6636364
13.4	-3.09	648.8656566
13.75	-3.09	601.8575758
14.1	-3.09	581.8424242
14.45	-3.09	546.3191919
14.8	-3.09	524.0030303
15.15	-3.09	463.3484848
15.5	-3.09	393.4444444
15.85	-3.09	343.7222222
16.2	-3.09	305.6757576
16.55	-3.09	567.2040404
16.9	-3.09	532.8888889
9.2	-2.59	1119.068687
9.55	-2.59	1115.158586
9.9	-2.59	1077.339394
10.25	-2.59	1027.733333
10.6	-2.59	1021.210101
10.95	-2.59	989.7262626
11.3	-2.59	987.0525253
11.65	-2.59	907.0181818
12	-2.59	869.9070707
12.35	-2.59	827.1181818
12.7	-2.59	774.6838384
13.05	-2.59	715.5979798
13.4	-2.59	662.2171717
13.75	-2.59	613.569697
14.1	-2.59	560.259596
14.45	-2.59	529.6565657
14.8	-2.59	493.7464646
15.15	-2.59	474.8050505
15.5	-2.59	399.9333333
15.85	-2.59	359.4373737
16.2	-2.59	300.3323232
16.55	-2.59	553.1686869
16.9	-2.59	556.0525253
9.2	-2.09	1109.831313
9.55	-2.09	1106.682828
9.9	-2.09	1095.768687
10.25	-2.09	1084.044444
10.6	-2.09	1113.372727
10.95	-2.09	1053.760606
11.3	-2.09	983.6747475
11.65	-2.09	915.0767677
12	-2.09	891.159596
12.35	-2.09	841.2939394
12.7	-2.09	771.8282828
13.05	-2.09	718.3252525
13.4	-2.09	653.9171717
13.75	-2.09	580.9181818
14.1	-2.09	514.6919192
14.45	-2.09	486.6343434
14.8	-2.09	461.1838384
15.15	-2.09	444.9424242
15.5	-2.09	390.2575758
15.85	-2.09	352.4171717
16.2	-2.09	302.5747475
16.55	-2.09	245.8585859
16.9	-2.09	500.0161616
9.2	-1.59	1124.617172
9.55	-1.59	1055.00404
9.9	-1.59	1129.569697
10.25	-1.59	1075.389899
10.6	-1.59	1083.818182
10.95	-1.59	1053.237374
11.3	-1.59	990.6141414
11.65	-1.59	939.0939394
12	-1.59	877.840404
12.35	-1.59	851.9
12.7	-1.59	768.4686869
13.05	-1.59	731.6666667
13.4	-1.59	670.969697
13.75	-1.59	574.5919192
14.1	-1.59	518.6737374
14.45	-1.59	485.6858586
14.8	-1.59	438.7010101
15.15	-1.59	415.8242424
15.5	-1.59	375.4949495
15.85	-1.59	332.1090909
16.2	-1.59	276.6929293
16.55	-1.59	239.4585859
16.9	-1.59	566.0838384
9.2	-1.09	1112.530303
9.55	-1.09	1093.043434
9.9	-1.09	1071.659596
10.25	-1.09	1029.142424
10.6	-1.09	1016.534343
10.95	-1.09	1009.155556
11.3	-1.09	962.7626263
11.65	-1.09	962.3272727
12	-1.09	871.059596
12.35	-1.09	814.5252525
12.7	-1.09	771.020202
13.05	-1.09	740.3787879
13.4	-1.09	651.779798
13.75	-1.09	585.0313131
14.1	-1.09	533.3525253
14.45	-1.09	484.7424242
14.8	-1.09	432.6737374
15.15	-1.09	385.1545455
15.5	-1.09	347.2020202
15.85	-1.09	305.7525253
16.2	-1.09	259.5616162
