"","wscode","weatherdate","tmin","tmax","tmoy","rhmin","rhmax","rhmoy","rainfall","windtot","radiation","sunshine","eto"
"1",5,2014-05-31,28.4,39,33.7,43,73,58,0,3,20,8.8,-999
"2",5,2014-06-01,25.2,39,32.1,41,81,61,16.4,2,20,9.6,-999
"3",5,2014-06-02,21,35.5,28.25,53,89,71,0,3,20,5.5,-999
"4",5,2014-06-03,26,37.7,31.85,37,85,61,0.9,1,20,8.2,-999
"5",5,2014-06-04,23.5,37.1,30.3,56,93,74.5,0,3,20,9.6,-999
"6",5,2014-06-05,27,28.7,27.85,84,96,90,32.5,4,20,8.8,-999
"7",5,2014-06-06,22.5,31.5,27,75,98,86.5,0,3,20,8.5,-999
"8",5,2014-06-07,22.4,33.7,28.05,59,90,74.5,0,2,20,8.3,-999
"9",5,2014-06-08,25,36.2,30.6,61,84,72.5,0,5,20,8.9,-999
"10",5,2014-06-09,27,35.2,31.1,58,79,68.5,11.8,4,20,6.1,-999
"11",5,2014-06-10,23.7,34.1,28.9,56,87,71.5,0,1,20,9.6,-999
"12",5,2014-06-11,25.2,34.7,29.95,49,82,65.5,0,1,20,3.8,-999
"13",5,2014-06-12,26.1,35.7,30.9,47,81,64,11.2,2,20,9.5,-999
"14",5,2014-06-13,21.6,30.3,25.95,68,94,81,0,2,20,6.1,-999
"15",5,2014-06-14,24.2,34.2,29.2,52,87,69.5,0,3,20,10.2,-999
"16",5,2014-06-15,25.5,35.5,30.5,57,79,68,60.1,5,20,10.7,-999
"17",5,2014-06-16,22,33.2,27.6,59,93,76,8,1,20,6.8,-999
"18",5,2014-06-17,21.5,27,24.25,80,91,85.5,0,3,20,10.7,-999
"19",5,2014-06-18,24,32.7,28.35,67,90,78.5,13,3,20,9.7,-999
"20",5,2014-06-19,22,30.5,26.25,73,94,83.5,0,1,20,6.5,-999
"21",5,2014-06-20,24.9,34.5,29.7,63,92,77.5,0,2,20,9,-999
"22",5,2014-06-21,26,35.2,30.6,51,85,68,12.5,3,20,11,-999
"23",5,2014-06-22,20.5,28.9,24.7,72,89,80.5,0,2,20,10.6,-999
"24",5,2014-06-23,23.9,32.7,28.3,61,96,78.5,0.2,3,20,9.8,-999
"25",5,2014-06-24,22.5,33.5,28,58,88,73,0,2,20,5.7,-999
"26",5,2014-06-25,25.2,36.1,30.65,57,90,73.5,0,2,20,6,-999
"27",5,2014-06-26,24.7,34,29.35,57,80,68.5,0,4,20,3.8,-999
"28",5,2014-06-27,26.1,34.5,30.3,61,82,71.5,6.2,4,20,9.4,-999
"29",5,2014-06-28,23,32.4,27.7,63,85,74,0,2,20,10.7,-999
"30",5,2014-06-29,24.5,34.6,29.55,63,85,74,0,2,20,7.6,-999
"31",5,2014-06-30,24.5,34.8,29.65,50,87,68.5,0,1,20,9.5,-999
"32",5,2014-07-01,24.7,35,29.85,55,79,67,54.4,2,20,10.8,-999
"33",5,2014-07-02,20.7,32.7,26.7,57,95,76,2.4,2,20,8.9,-999
"34",5,2014-07-03,24.1,31.2,27.65,74,94,84,1.8,1,20,6.8,-999
"35",5,2014-07-04,22.6,30.4,26.5,70,96,83,0,3,20,9.1,-999
"36",5,2014-07-05,23.7,33.9,28.8,54,89,71.5,0,4,20,11.3,-999
"37",5,2014-07-06,24.2,34.4,29.3,58,83,70.5,8.4,2,20,7.5,-999
"38",5,2014-07-07,19.5,27.2,23.35,73,92,82.5,4.4,3,20,7.5,-999
"39",5,2014-07-08,21.5,30.7,26.1,63,88,75.5,0,2,20,5.6,-999
"40",5,2014-07-09,23.1,32.6,27.85,58,88,73,0,2,20,3.5,-999
"41",5,2014-07-10,24.8,34,29.4,60,91,75.5,0,2,20,1.8,-999
"42",5,2014-07-11,24.5,35.7,30.1,53,82,67.5,0,2,20,6.9,-999
"43",5,2014-07-12,25,34.1,29.55,62,84,73,0,4,20,7,-999
"44",5,2014-07-13,25.5,29,27.25,79,96,87.5,12.2,3,20,8.9,-999
"45",5,2014-07-14,23.9,31.5,27.7,66,87,76.5,0.9,2,20,10.3,-999
"46",5,2014-07-15,23.7,34,28.85,60,93,76.5,0,2,20,8,-999
"47",5,2014-07-16,24.7,32.7,28.7,65,91,78,0,3,20,10.3,-999
"48",5,2014-07-17,22.5,31.1,26.8,62,91,76.5,7.9,4,20,9.7,-999
"49",5,2014-07-18,23.7,28.7,26.2,79,93,86,21.9,3,20,4.1,-999
"50",5,2014-07-19,22.1,31.9,27,69,96,82.5,0,3,20,9,-999
"51",5,2014-07-20,22,33.8,27.9,67,89,78,0,2,20,0.6,-999
"52",5,2014-07-21,25.5,33.2,29.35,61,90,75.5,0,2,20,1.7,-999
"53",5,2014-07-22,25.5,30.3,27.9,73,89,81,0,3,20,4.2,-999
"54",5,2014-07-23,24.7,28.5,26.6,70,87,78.5,46,3,20,8.1,-999
"55",5,2014-07-24,24.5,28.5,26.5,93,94,93.5,44,2,20,7.8,-999
"56",5,2014-07-25,22,30.7,26.35,69,90,79.5,0,3,20,9.3,-999
"57",5,2014-07-26,25,32.5,28.75,62,89,75.5,27.7,1,20,6.5,-999
"58",5,2014-07-27,21.6,31.7,26.65,70,94,82,0,3,20,2.9,-999
"59",5,2014-07-28,24.2,32.2,28.2,63,93,78,0,3,20,6,-999
