"","wscode","weatherdate","tmin","tmax","tmoy","rhmin","rhmax","rhmoy","rainfall","windtot","radiation","sunshine","eto"
"1",4,2013-07-13,22,34.3,28.15,50.5,97,77.5,0,0.625,25.5,10.7335520024845,5.26707929051838
"2",4,2013-07-14,25.6,33.8,29.7,57.5,90,76,0,1.07638888888889,20.46,7.34762455061981,4.74198219394477
"3",4,2013-07-15,25.2,33.6,29.4,55,91.5,72,0,1.06481481481481,19.94,6.99440012103698,4.63369772298988
"4",4,2013-07-16,26.4,36.3,31.35,41,89,68.5,0,0.914351851851852,22.64,8.79808308785699,5.34860607228876
"5",4,2013-07-17,24.8,32.8,28.8,59,93.5,79,0,0.68287037037037,12.49,1.99818370114226,3.07872208820885
"6",4,2013-07-18,25.8,35.5,30.65,46.5,93,70.5,0.5,1.28472222222222,20.65,7.45497279995103,5.12072790060959
"7",4,2013-07-19,24.8,36.6,30.7,40,91.5,66.5,0,0.833333333333333,24.68,10.143831019629,5.58309080367353
"8",4,2013-07-20,25.5,36.5,31,43,97,66.5,29,0.99537037037037,24.21,9.82271279510207,5.62486841417375
"9",4,2013-07-21,21.8,32.8,27.3,57.5,97.5,83.5,12,0.486111111111111,18.14,5.76307117162883,3.87120792144315
"10",4,2013-07-22,22.2,33.1,27.65,59,97.5,83.5,0,0.625,20.61,7.40670214142844,4.36652651138703
"11",4,2013-07-23,24.2,33.1,28.65,53.5,92,75,0,0.659722222222222,22.12,8.40799615254639,4.73830144576811
"12",4,2013-07-24,24.1,34.6,29.35,54,97,79,0,0.625,23.28,9.17468768509489,5.01525339150636
"13",4,2013-07-25,21,28.6,24.8,69,97,85,15,0.787037037037037,10.67,0.771908693522651,2.48607924656685
"14",4,2013-07-26,23.7,34.6,29.15,53.5,94.5,79.5,0,0.520833333333333,23.55,9.34085879887345,4.99154203607427
"15",4,2013-07-27,23.8,33.2,28.5,54,94,77,0,0.752314814814815,23.7,9.43376569345079,5.03220538637381
"16",4,2013-07-28,25,32.5,28.75,58.5,92.5,80.5,0,1.03009259259259,16.25,4.47704418143264,3.8806037592721
"17",4,2013-07-29,25.9,33.8,29.85,54.5,90,74,0,1.25,20.37,7.20922923187459,4.85046639209937
"18",4,2013-07-30,25.35,34.1,29.725,53,93.5,77.5,0,1.05324074074074,19.135,6.38474306985306,4.54069590965651
"19",4,2013-07-31,24.8,34.4,29.6,51.5,97,81,7,0.856481481481482,17.9,5.56153195747099,4.22472487428003
"20",4,2013-08-01,22.2,32,27.1,62,98,86.5,0.5,0.740740740740741,20.34,7.17439375473848,4.27898789121018
"21",4,2013-08-02,23.6,32.9,28.25,55.5,97,83,16.5,0.833333333333333,20.94,7.56692806304106,4.56271971041804
"22",4,2013-08-03,23.5,34.2,28.85,51,98,84.5,0,0.613425925925926,21.9,8.19724925688033,4.71916017982783
"23",4,2013-08-04,24,34.5,29.25,56.5,96.5,83,0,0.694444444444444,18.69,6.06991095122483,4.23059612254175
"24",4,2013-08-05,25.4,32,28.7,65,97.5,85.5,0,0.648148148148148,16.09,4.34869630499404,3.61903720616474
"25",4,2013-08-06,23.2,34.8,29,52,97.5,81.5,6,0.648148148148148,21.62,7.99782754004136,4.71606714799174
"26",4,2013-08-07,24.3,32.4,28.35,63,98.5,86.5,5,0.578703703703704,17.66,5.38070192590916,3.86464108887818
"27",4,2013-08-08,23.5,33.7,28.6,56.5,98,81,0,0.856481481481482,21.54,7.93682812060983,4.71556714135179
"28",4,2013-08-09,21.2,29.6,25.4,77,98,90.5,25,0.949074074074074,6.83,-1.76034687335853,1.84176592222186
"29",4,2013-08-10,22.4,33.7,28.05,56,98.5,84.5,0,0.439814814814815,19.06,6.29653182933675,4.09705039793172
"30",4,2013-08-11,24.5,31.4,27.95,66.5,97.5,88.5,7,0.636574074074074,15.55,3.98425797052693,3.4562177560401
"31",4,2013-08-12,23.8,32.5,28.15,60.5,98.5,89,4,0.763888888888889,19.57,6.62815978379948,4.25288852142906
"32",4,2013-08-13,23.4,32.4,27.9,62.5,99,88,0,0.648148148148148,16.17,4.3912652017789,3.59969812706471
"33",4,2013-08-14,24.2,29.1,26.65,68,98.5,88.5,1.5,0.613425925925926,11.82,1.53288331576858,2.69774141959309
"34",4,2013-08-15,22.6,34.2,28.4,53,99.5,82.5,0,0.486111111111111,21.82,8.10197436695302,4.60525030540855
"35",4,2013-08-16,21.5,29,25.25,71.5,98,89.5,9.5,1.08796296296296,9.74,0.171125381208092,2.39734375135881
"36",4,2013-08-17,23.8,32.8,28.3,61.5,98.5,84.5,0,0.578703703703704,18.58,5.97403437210704,4.0310945442003
"37",4,2013-08-18,23,31.1,27.05,68,98.5,91.5,22,0.532407407407407,13.03,2.33467326187971,2.92629806716128
"38",4,2013-08-19,23.5,32.8,28.15,63.5,99,90.5,11,0.578703703703704,14.26,3.14342587581075,3.25743312117133
"39",4,2013-08-20,23.4,31.8,27.6,66,99.5,88,5,0.856481481481482,20.24,7.06467883234168,4.29142456339289
"40",4,2013-08-21,23.3,30.9,27.1,67.5,99,91,5,0.763888888888889,15.27,3.8102284545545,3.36720519849572
"41",4,2013-08-22,24.9,35.1,30,52.5,99.5,88,6,0.613425925925926,21.86,8.12889953381889,4.82212622025442
"42",4,2013-08-23,23.9,33.8,28.85,58,99.5,86,0,0.381944444444444,22.6,8.61547216241701,4.77166673083242
"43",4,2013-08-24,24,33.9,28.95,59,99.5,86.5,21,0.821759259259259,22.63,8.63761700322495,4.8995021328227
"44",4,2013-08-25,21.4,29.9,25.65,78,100,92.5,0,0.625,14.14,3.08461615140647,2.97775032136957
"45",4,2013-08-26,23.6,34.8,29.2,49.5,100,85.5,2,0.497685185185185,23.56,9.25288115572489,4.97479844659832
"46",4,2013-08-27,24.3,35.2,29.75,57,98.5,86,16,0.497685185185185,19.38,6.52238440360188,4.29746475836492
"47",4,2013-08-28,21.1,31.9,26.5,66,99.5,85.5,1,0.902777777777778,21.22,7.73114849497922,4.37304266234343
"48",4,2013-08-29,24.9,29.6,27.25,79,99,94.5,10,0.439814814814815,5.05,-2.84076820316002,1.42890652684128
"49",4,2013-08-30,22.8,31.3,27.05,65,99.5,90,4,0.625,17.96,5.61040539930726,3.79625593275729
"50",4,2013-08-31,21.9,32.6,27.25,53.5,100,84,0,0.520833333333333,24.07,9.61404849046771,4.83775960680915
"51",4,2013-09-01,22.1,32.8,27.45,59,100,87,0,0.439814814814815,20.96,7.58701753733059,4.33440643484583
"52",4,2013-09-02,23.9,33.5,28.7,59,99.5,85.5,0,0.555555555555556,21.65,8.04652120566544,4.59353665746458
"53",4,2013-09-03,22.9,34.5,28.7,56.5,99.5,84,0,0.347222222222222,21.18,7.74771115481213,4.50847902792603
"54",4,2013-09-04,23.9,34.3,29.1,57.5,99,84.5,22,0.578703703703704,21.78,8.14980173102235,4.67540461112904
