"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2456847,28,0.675,8.5,17.78,250.67,NA,NA
2456860,41,0.725,13.5,39.8033333333333,1661.565,NA,NA
2456874,55,3.105,17.25,141.676666666667,1271.045,NA,NA
2456888,69,2.65,20.5,222.733333333333,4946.9525,NA,NA
2456902,83,2.605,22.5625,293.153333333333,9789.84,NA,NA
2456916,97,2.5725,25.25,345.666666666667,12509.73,NA,NA
2456930,111,3.3175,28.8125,387,16266.7325,NA,NA
2456945,126,2.675,31.1875,488.626666666667,15027.1,NA,NA
2456958,139,1.875,NA,NA,19771.48,NA,NA
2456986,167,NA,NA,NA,NA,1651.75,29946
