"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2457238,19,NA,6.325,5.625,NA,NA,NA
2457239,19,NA,NA,NA,6.25,NA,NA
2457239,19,NA,NA,NA,NA,NA,NA
2457239,19,0.325,NA,NA,NA,NA,NA
2457248,28,NA,NA,NA,NA,NA,NA
2457249,29,NA,NA,NA,79.1666666666667,NA,NA
2457249,29,0.375,NA,NA,NA,NA,NA
2457253,33,NA,11.9,12.2,NA,NA,NA
2457260,40,NA,NA,NA,NA,NA,NA
2457261,41,NA,NA,NA,335.133333333333,NA,NA
2457261,41,0.65,NA,NA,NA,NA,NA
2457270,50,NA,14.5,37.45,NA,NA,NA
2457272,52,NA,NA,NA,739,NA,NA
2457272,52,NA,NA,NA,NA,NA,NA
2457272,52,1,NA,NA,NA,NA,NA
2457283,63,NA,NA,NA,NA,NA,NA
2457284,64,NA,NA,NA,1068.25,NA,NA
2457284,64,1.225,NA,NA,NA,NA,NA
2457285,65,NA,19,105.15,NA,NA,NA
2457296,76,NA,NA,NA,NA,NA,NA
2457297,77,NA,NA,NA,2616.15,NA,NA
2457297,77,1.625,NA,NA,NA,NA,NA
2457299,79,NA,24.325,65.8,NA,NA,NA
2457310,90,NA,NA,NA,NA,NA,NA
2457311,91,NA,NA,NA,5047.075,NA,NA
2457311,91,1.575,NA,NA,NA,NA,NA
2457314.5,94.5,NA,NA,NA,NA,NA,NA
2457317,97,NA,NA,NA,8180.325,NA,NA
2457317,97,2.35,NA,NA,NA,NA,NA
2457324.5,104.5,NA,NA,NA,NA,NA,NA
2457327,107,NA,NA,NA,11438.9,NA,NA
2457327,107,1.8,NA,NA,NA,NA,NA
2457342.75,122.75,NA,NA,NA,10111.575,NA,NA
2457342.75,122.75,1.375,NA,NA,NA,NA,NA
2457342.75,123.75,NA,NA,NA,NA,1928.725,16642.1
