"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2456520,21,NA,NA,NA,NA,NA,NA
2456522,23,NA,NA,NA,83.65,NA,NA
2456523,24,NA,9.75,11.6,NA,NA,NA
2456528,29,NA,NA,NA,188.866666666667,NA,NA
2456528,29,NA,NA,NA,NA,NA,NA
2456528,29,0.45,NA,NA,NA,NA,NA
2456529,30,NA,12.25,17.4,NA,NA,NA
2456534,35,NA,NA,NA,NA,NA,NA
2456535,36,NA,NA,NA,611.35,NA,NA
2456535,36,0.6,NA,NA,NA,NA,NA
2456536,37,NA,15.25,26.225,NA,NA,NA
2456540,41,NA,NA,NA,NA,NA,NA
2456542,43,NA,NA,NA,1029.525,NA,NA
2456542,43,1.3,NA,NA,NA,NA,NA
2456543,44,NA,17.775,36.275,NA,NA,NA
2456548,49,NA,NA,NA,NA,NA,NA
2456549,50,NA,NA,NA,1916.35,NA,NA
2456549,50,2,NA,NA,NA,NA,NA
2456550,51,NA,19.775,51.2,NA,NA,NA
2456555,56,NA,NA,NA,NA,NA,NA
2456556,57,NA,NA,NA,3125.275,NA,NA
2456556,57,2,NA,NA,NA,NA,NA
2456557,58,NA,22.35,69.125,NA,NA,NA
2456563,64,NA,NA,NA,4560.375,NA,NA
2456563,64,NA,NA,NA,NA,NA,NA
2456563,64,3.4,NA,NA,NA,NA,NA
2456564,65,NA,25.5,86.5,NA,NA,NA
2456569,70,NA,NA,NA,NA,NA,NA
2456570,71,NA,NA,NA,5608.2,NA,NA
2456570,71,2.15,NA,NA,NA,NA,NA
2456571,72,NA,26,126.05,NA,NA,NA
2456576,77,NA,NA,NA,NA,NA,NA
2456577,78,NA,NA,NA,7153.3,NA,NA
2456577,78,3.35,NA,NA,NA,NA,NA
2456578,79,NA,25.925,158.55,NA,NA,NA
2456584,85,NA,NA,NA,NA,NA,NA
2456585,86,NA,NA,NA,7951.975,NA,NA
2456586,87,NA,25.925,146,NA,NA,NA
2456591,92,NA,NA,NA,NA,NA,NA
2456596,97,NA,NA,NA,NA,NA,NA
2456603,104,NA,NA,NA,7722.525,NA,NA
2456603,104,NA,NA,NA,NA,NA,NA
2456603,104,1.275,NA,NA,NA,NA,NA
2456603,104,NA,NA,NA,NA,1323,8037.5
