,wscode,weatherdate,tmin,tmax,tmoy,rhmin,rhmax,rhmoy,rainfall,windtot,radiation,sunshine,eto
1,5,05/31/2014,28.4,39,33.7,43,73,58,0,2.43,15.72,8.8,-999
2,5,06/01/2014,25.2,39,32.1,41,81,61,16.4,2.3,13.96,9.6,-999
3,5,06/02/2014,21,35.5,28.25,53,89,71,0,2.16,18.71,5.5,-999
4,5,06/03/2014,26,37.7,31.85,37,85,61,0.9,1.76,13.64,8.2,-999
5,5,06/04/2014,23.5,37.1,30.3,56,93,74.5,0,2.17,14.06,9.6,-999
6,5,06/05/2014,27,28.7,27.85,84,96,90,32.5,1.13,31.38,8.8,-999
7,5,06/06/2014,22.5,31.5,27,75,98,86.5,0,2.35,16.81,8.5,-999
8,5,06/07/2014,22.4,33.7,28.05,59,90,74.5,0,1.65,13.36,8.3,-999
9,5,06/08/2014,25,36.2,30.6,61,84,72.5,0,1.84,11.98,8.9,-999
10,5,06/09/2014,27,35.2,31.1,58,79,68.5,11.8,2.41,15.88,6.1,-999
11,5,06/10/2014,23.7,34.1,28.9,56,87,71.5,0,2.16,14.17,9.6,-999
12,5,06/11/2014,25.2,34.7,29.95,49,82,65.5,0,1.47,15.67,3.8,-999
13,5,06/12/2014,26.1,35.7,30.9,47,81,64,11.2,1.48,17.18,9.5,-999
14,5,06/13/2014,21.6,30.3,25.95,68,94,81,0,1.82,21.6,6.1,-999
15,5,06/14/2014,24.2,34.2,29.2,52,87,69.5,0,1.7,13.56,10.2,-999
16,5,06/15/2014,25.5,35.5,30.5,57,79,68,60.1,1.97,15.81,10.7,-999
17,5,06/16/2014,22,33.2,27.6,59,93,76,8,1.23,12.45,6.8,-999
18,5,06/17/2014,21.5,27,24.25,80,91,85.5,0,1.45,27.89,10.7,-999
19,5,06/18/2014,24,32.7,28.35,67,90,78.5,13,1.46,15.3,9.7,-999
20,5,06/19/2014,22,30.5,26.25,73,94,83.5,0,1.42,17.33,6.5,-999
21,5,06/20/2014,24.9,34.5,29.7,63,92,77.5,0,1.81,12.13,9,-999
22,5,06/21/2014,26,35.2,30.6,51,85,68,12.5,2.32,14.52,11,-999
23,5,06/22/2014,20.5,28.9,24.7,72,89,80.5,0,1.32,24.4,10.6,-999
24,5,06/23/2014,23.9,32.7,28.3,61,96,78.5,0.2,1.45,14.7,9.8,-999
25,5,06/24/2014,22.5,33.5,28,58,88,73,0,1.71,13.62,5.7,-999
26,5,06/25/2014,25.2,36.1,30.65,57,90,73.5,0,2.16,14.11,6,-999
27,5,06/26/2014,24.7,34,29.35,57,80,68.5,0,2.37,13.36,3.8,-999
28,5,06/27/2014,26.1,34.5,30.3,61,82,71.5,6.2,1.89,13.6,9.4,-999
29,5,06/28/2014,23,32.4,27.7,63,85,74,0,1.22,22.39,10.7,-999
30,5,06/29/2014,24.5,34.6,29.55,63,85,74,0,1.61,16.35,7.6,-999
31,5,06/30/2014,24.5,34.8,29.65,50,87,68.5,0,1.27,12.55,9.5,-999
32,5,07/01/2014,24.7,35,29.85,55,79,67,54.4,1.54,16.2,10.8,-999
33,5,07/02/2014,20.7,32.7,26.7,57,95,76,2.4,1.8,16.45,8.9,-999
34,5,07/03/2014,24.1,31.2,27.65,74,94,84,1.8,1.76,25.6,6.8,-999
35,5,07/04/2014,22.6,30.4,26.5,70,96,83,0,0.86,14.73,9.1,-999
