"","wscode","weatherdate","tmin","tmax","tmoy","rhmin","rhmax","rhmoy","rainfall","windtot","radiation","sunshine","eto"
"1",5,2015-05-31,27.9,39.1,33.5,43,70,56.5,0,4,20,10.1,-999
"2",5,2015-06-01,25.5,38,31.75,45,69,57,0,4,20,6.2,-999
"3",5,2015-06-02,23.5,35.9,29.7,46,75,60.5,0,2,20,8.9,-999
"4",5,2015-06-03,26.2,34,30.1,54,71,62.5,10.7,3,20,4.9,-999
"5",5,2015-06-04,22.6,35.2,28.9,59,97,78,0,2,20,9.8,-999
"6",5,2015-06-05,24.6,35.7,30.15,51,80,65.5,0,4,20,8.8,-999
"7",5,2015-06-06,26.2,35.7,30.95,53,76,64.5,0,4,20,8.5,-999
"8",5,2015-06-07,27,36.6,31.8,51,79,65,10.8,3,20,8.3,-999
"9",5,2015-06-08,22.5,35,28.75,58,78,68,0,2,20,8.9,-999
"10",5,2015-06-09,22.5,35,28.75,39,69,54,0,3,20,6.1,-999
"11",5,2015-06-10,25.2,35.7,30.45,49,81,65,14.4,2,20,9.6,-999
"12",5,2015-06-11,21,30.9,25.95,65,92,78.5,0,1,20,3.8,-999
"13",5,2015-06-12,24,35.5,29.75,52,80,66,0,1,20,9.5,-999
"14",5,2015-06-13,27,36,31.5,50,78,64,2,3,20,6.1,-999
"15",5,2015-06-14,22.4,33,27.7,32,84,58,0,2,20,10.2,-999
"16",5,2015-06-15,24,34.7,29.35,53,80,66.5,0,2,20,10.7,-999
"17",5,2015-06-16,24,33.6,28.8,52,81,66.5,0,2,20,6.8,-999
"18",5,2015-06-17,23.7,36,29.85,55,85,70,0,3,20,10.7,-999
"19",5,2015-06-18,23.7,35.7,29.7,54,74,64,0,3,20,9.7,-999
"20",5,2015-06-19,25.5,33.5,29.5,62,80,71,0,3,20,6.5,-999
"21",5,2015-06-20,23.9,36,29.95,54,88,71,31.6,2,20,9,-999
"22",5,2015-06-21,21.7,35.5,28.6,53,91,72,0,1,20,11,-999
"23",5,2015-06-22,21.5,35.2,28.35,59,81,70,0,3,20,10.6,-999
"24",5,2015-06-23,25.5,34.4,29.95,58,80,69,0,2,20,9.8,-999
"25",5,2015-06-24,24.5,33.6,29.05,49,89,69,42.4,NA,20,5.7,-999
"26",5,2015-06-25,22,31.2,26.6,71,93,82,0,2,20,6,-999
"27",5,2015-06-26,25.2,32,28.6,58,84,71,0,2,20,3.8,-999
"28",5,2015-06-27,26.2,33,29.6,56,81,68.5,4,4,20,9.4,-999
"29",5,2015-06-28,25.5,34.4,29.95,54,98,76,0,1,20,10.7,-999
"30",5,2015-06-29,24,34.1,29.05,57,80,68.5,4.7,2,20,7.6,-999
"31",5,2015-06-30,22.6,32.7,27.65,64,96,80,0,3,20,9.5,-999
"32",5,2015-07-01,24.5,34.6,29.55,50,87,68.5,0,2,20,10.8,-999
"33",5,2015-07-02,25,36.7,30.85,54,90,72,0,2,20,8.9,-999
"34",5,2015-07-03,23,33.5,28.25,47,84,65.5,0,3,20,6.8,-999
"35",5,2015-07-04,24.5,33.7,29.1,55,80,67.5,0,3,20,9.1,-999
"36",5,2015-07-05,25,35.6,30.3,46,87,66.5,0,2,20,11.3,-999
"37",5,2015-07-06,23,33.6,28.3,59,90,74.5,0,1,20,7.5,-999
"38",5,2015-07-07,24.5,34,29.25,56,83,69.5,0.3,2,20,7.5,-999
"39",5,2015-07-08,23.8,34,28.9,67,90,78.5,16.3,1,20,5.6,-999
"40",5,2015-07-09,23.5,31.5,27.5,70,96,83,24.9,2,20,3.5,-999
"41",5,2015-07-10,22.7,30.7,26.7,75,94,84.5,0,1,20,1.8,-999
"42",5,2015-07-11,24.5,33.4,28.95,66,93,79.5,2.7,1,20,6.9,-999
"43",5,2015-07-12,22.5,30.7,26.6,63,92,77.5,0,3,20,7,-999
"44",5,2015-07-13,23.7,33,28.35,57,91,74,0,1,20,8.9,-999
"45",5,2015-07-14,24.6,35.1,29.85,59,87,73,0,2,20,10.3,-999
"46",5,2015-07-15,25.6,33.7,29.65,62,81,71.5,61.1,2,20,8,-999
"47",5,2015-07-16,21.5,31.4,26.45,69,87,78,0,2,20,10.3,-999
"48",5,2015-07-17,23.5,32.6,28.05,66,93,79.5,0.3,NA,20,9.7,-999
"49",5,2015-07-18,22.5,30.4,26.45,69,91,80,0,2,20,4.1,-999
"50",5,2015-07-19,23.1,32.2,27.65,68,94,81,0,3,20,9,-999
"51",5,2015-07-20,25.2,29.6,27.4,79,96,87.5,37.2,2,20,0.6,-999
"52",5,2015-07-21,20.5,29.1,24.8,78,93,85.5,0,1,20,1.7,-999
"53",5,2015-07-22,23.1,30.5,26.8,75,92,83.5,0,1,20,4.2,-999
"54",5,2015-07-23,23.6,31.5,27.55,67,90,78.5,0,2,20,8.1,-999
