"","wscode","weatherdate","tmin","tmax","tmoy","rhmin","rhmax","rhmoy","rainfall","windtot","radiation","sunshine","eto"
"1",380084,2013-05-31,24.6,42.6,33.6,28,87,57.5,0,2.7,17.6911362288282,5.4,4.55775159558222
"2",380084,2013-06-01,25.2,36.6,30.9,46,87,66.5,0,2.5,9.59583986540404,0,2.8346386593447
"3",380084,2013-06-02,24.5,36.2,30.35,45,89,67,0,2.5,17.9757526238936,5.6,4.73272389351099
"4",380084,2013-06-03,23,35.6,29.3,31,100,65.5,0,2.5,22.3064398449453,8.5,5.51942278877012
"5",380084,2013-06-04,23,35,29,38,98,68,0,2.5,23.7917042920734,9.5,5.92439503804321
"6",380084,2013-06-05,22.8,36,29.4,35,92,63.5,0,2.5,24.2296939031799,9.8,5.93368023524102
"7",380084,2013-06-06,22.5,38.6,30.55,32,93,62.5,0,2.5,23.4729421006698,9.3,5.77146351952978
"8",380084,2013-06-07,22.5,39.5,31,30,95,62.5,0,2.5,19.1354215601127,6.4,4.83931527179932
"9",380084,2013-06-08,25.5,37.8,31.65,39,88,63.5,0,2.5,18.2336335159824,5.8,4.77076945007083
"10",380084,2013-06-09,25.5,38.2,31.85,32,88,60,0,2.5,12.8599328022756,2.2,3.51927243060495
"11",380084,2013-06-10,24,41.2,32.6,28,91,59.5,0,2.5,21.0535397917775,7.7,5.26263292410648
"12",380084,2013-06-11,24.4,35,29.7,46,95,70.5,0,2.5,17.6205421036593,5.4,4.66569786258066
"13",380084,2013-06-12,24.8,40.4,32.6,29,86,57.5,0,2.5,24.0189275350624,9.7,5.88788661701804
"14",380084,2013-06-13,24,38.2,31.1,34,96,65,0,2.5,21.4813797979457,8,5.43875932328304
"15",380084,2013-06-14,23.8,36.5,30.15,40,96,68,0,2.5,17.0115016986689,5,4.48491126430056
"16",380084,2013-06-15,24.8,36.5,30.65,41,86,63.5,0,2.5,20.5780288366993,7.4,5.25952279702689
