"","wscode","weatherdate","tmin","tmax","tmoy","rhmin","rhmax","rhmoy","rainfall","windtot","radiation","sunshine","eto"
"1",2,2014-05-31,26.5,36,31.25,52,52,52,0,2,31.25,NA,-999
"2",2,2014-06-01,26,36,31,54.33,54.33,54.33,0,2,31,NA,-999
"3",2,2014-06-02,21,31.5,26.25,60,60,60,28.5,2,26.25,NA,-999
"4",2,2014-06-03,23.5,35.5,29.5,56,56,56,1.2,2,29.5,NA,-999
"5",2,2014-06-04,22.5,34,28.25,58.67,58.67,58.67,0,2,28.25,NA,-999
"6",2,2014-06-05,25,26.5,25.75,79,79,79,25.7,2,25.75,NA,-999
"7",2,2014-06-06,21,28.5,24.75,73,73,73,8.1,2,24.75,NA,-999
"8",2,2014-06-07,20.5,30.5,25.5,63.33,63.33,63.33,0,2,25.5,NA,-999
"9",2,2014-06-08,23,33,28,60,60,60,0,2,28,NA,-999
"10",2,2014-06-09,24.5,32.5,28.5,74.33,74.33,74.33,11.9,2,28.5,NA,-999
"11",2,2014-06-10,22,31.5,26.75,66,66,66,0,2,26.75,NA,-999
"12",2,2014-06-11,23.5,32,27.75,60.67,60.67,60.67,0,2,27.75,NA,-999
"13",2,2014-06-12,23.5,33,28.25,71.67,71.67,71.67,0.3,2,28.25,NA,-999
"14",2,2014-06-13,20.5,29,24.75,78.33,78.33,78.33,13.8,2,24.75,NA,-999
"15",2,2014-06-14,22.5,31,26.75,65,65,65,0,2,26.75,NA,-999
"16",2,2014-06-15,21.5,32.5,27,63.67,63.67,63.67,73.5,2,27,NA,-999
"17",2,2014-06-16,20,32,26,63.67,63.67,63.67,0,2,26,NA,-999
"18",2,2014-06-17,20.5,24.5,22.5,83.33,83.33,83.33,46.6,2,22.5,NA,-999
"19",2,2014-06-18,22.5,30.5,26.5,70,70,70,0,2,26.5,NA,-999
"20",2,2014-06-19,22,30,26,70.67,70.67,70.67,1.2,2,26,NA,-999
"21",2,2014-06-20,22.5,32,27.25,63,63,63,0,2,27.25,NA,-999
"22",2,2014-06-21,25,34.5,29.75,65,65,65,29.5,2,29.75,NA,-999
"23",2,2014-06-22,21.5,27.5,24.5,81,81,81,40.8,2,24.5,NA,-999
"24",2,2014-06-23,22,30,26,75.33,75.33,75.33,3,2,26,NA,-999
"25",2,2014-06-24,20,31,25.5,75.33,75.33,75.33,0,2,25.5,NA,-999
"26",2,2014-06-25,24,32.5,28.25,71,71,71,0,2,28.25,NA,-999
"27",2,2014-06-26,22.5,31.5,27,72.33,72.33,72.33,0,2,27,NA,-999
"28",2,2014-06-27,24,29.5,26.75,75,75,75,4.8,2,26.75,NA,-999
"29",2,2014-06-28,21.5,30,25.75,76.33,76.33,76.33,0,2,25.75,NA,-999
"30",2,2014-06-29,22.5,31.5,27,75,75,75,0,2,27,NA,-999
"31",2,2014-06-30,23,32.5,27.75,67,67,67,0,2,27.75,NA,-999
"32",2,2014-07-01,23,32,27.5,68,68,68,1.7,2,27.5,NA,-999
"33",2,2014-07-02,22.5,31.5,27,73.67,73.67,73.67,0,2,27,NA,-999
"34",2,2014-07-03,23,31.5,27.25,72.67,72.67,72.67,4.5,2,27.25,NA,-999
"35",2,2014-07-04,22.5,26,24.25,79.33,79.33,79.33,4.3,2,24.25,NA,-999
"36",2,2014-07-05,22.05,31.5,26.775,66.67,66.67,66.67,0,2,26.775,NA,-999
"37",2,2014-07-06,23,32,27.5,66.67,66.67,66.67,0,2,27.5,NA,-999
"38",2,2014-07-07,20.5,20,20.25,86,86,86,3.9,2,20.25,NA,-999
"39",2,2014-07-08,22,30,26,67.33,67.33,67.33,0,2,26,NA,-999
"40",2,2014-07-09,22,31.5,26.75,70.33,70.33,70.33,0,2,26.75,NA,-999
"41",2,2014-07-10,22.5,32.5,27.5,65.33,65.33,65.33,0,2,27.5,NA,-999
"42",2,2014-07-11,22.5,34.5,28.5,67,67,67,0,2,28.5,NA,-999
"43",2,2014-07-12,23.5,32,27.75,68.33,68.33,68.33,0,2,27.75,NA,-999
"44",2,2014-07-13,23.5,28.5,26,81.67,81.67,81.67,12.4,2,26,NA,-999
"45",2,2014-07-14,22.5,30,26.25,77,77,77,0,2,26.25,NA,-999
"46",2,2014-07-15,22,33,27.5,68.33,68.33,68.33,0,2,27.5,NA,-999
"47",2,2014-07-16,23,32,27.5,72.67,72.67,72.67,3,2,27.5,NA,-999
"48",2,2014-07-17,24,30,27,78.67,78.67,78.67,3,2,27,NA,-999
"49",2,2014-07-18,22.5,30,26.25,85.33,85.33,85.33,8.3,2,26.25,NA,-999
"50",2,2014-07-19,21.5,31,26.25,75.67,75.67,75.67,0,2,26.25,NA,-999
"51",2,2014-07-20,23,32,27.5,74.67,74.67,74.67,0,2,27.5,NA,-999
"52",2,2014-07-21,24,31.5,27.75,72,72,72,0,2,27.75,NA,-999
"53",2,2014-07-22,23.5,30,26.75,78,78,78,0,2,26.75,NA,-999
"54",2,2014-07-23,23,30,26.5,80,80,80,31.5,2,26.5,NA,-999
"55",2,2014-07-24,20.5,27,23.75,93.33,93.33,93.33,18.2,2,23.75,NA,-999
"56",2,2014-07-25,21,29,25,82.33,82.33,82.33,0,2,25,NA,-999
"57",2,2014-07-26,23.5,31.5,27.5,77,77,77,0,2,27.5,NA,-999
"58",2,2014-07-27,21,31.5,26.25,81.67,81.67,81.67,32.5,2,26.25,NA,-999
"59",2,2014-07-28,22.5,30,26.25,77.33,77.33,77.33,0,2,26.25,NA,-999
"60",2,2014-07-29,22,32,27,69,69,69,0,2,27,NA,-999
"61",2,2014-07-30,23.5,31.5,27.5,76.33,76.33,76.33,0,2,27.5,NA,-999
"62",2,2014-07-31,22.5,31.5,27,69.33,69.33,69.33,0,2,27,NA,-999
"63",2,2014-08-01,23.5,32,27.75,75.67,75.67,75.67,0,2,27.75,NA,-999
"64",2,2014-08-02,21,30.5,25.75,76.33,76.33,76.33,6,2,25.75,NA,-999
"65",2,2014-08-03,21,31,26,83.33,83.33,83.33,27.3,2,26,NA,-999
"66",2,2014-08-04,23.5,28.5,26,83,83,83,1.1,2,26,NA,-999
"67",2,2014-08-05,21.5,29.5,25.5,82,82,82,14.5,2,25.5,NA,-999
"68",2,2014-08-06,22,30,26,78.67,78.67,78.67,0,2,26,NA,-999
"69",2,2014-08-07,23.5,31.5,27.5,81,81,81,0,2,27.5,NA,-999
"70",2,2014-08-08,22,28.5,25.25,87.67,87.67,87.67,18.6,2,25.25,NA,-999
"71",2,2014-08-09,22,29.5,25.75,82.33,82.33,82.33,0,2,25.75,NA,-999
"72",2,2014-08-10,22,30,26,80.33,80.33,80.33,30.1,2,26,NA,-999
"73",2,2014-08-11,21.5,28,24.75,82.33,82.33,82.33,0,2,24.75,NA,-999
"74",2,2014-08-12,21.5,29.5,25.5,81.67,81.67,81.67,0,2,25.5,NA,-999
"75",2,2014-08-13,21.5,27,24.25,85.33,85.33,85.33,49.8,2,24.25,NA,-999
"76",2,2014-08-14,21,29,25,77.33,77.33,77.33,0,2,25,NA,-999
"77",2,2014-08-15,21.5,29,25.25,80.67,80.67,80.67,0.7,2,25.25,NA,-999
"78",2,2014-08-16,22.5,30.5,26.5,83.33,83.33,83.33,6.6,2,26.5,NA,-999
"79",2,2014-08-17,22,28.5,25.25,81,81,81,11.1,2,25.25,NA,-999
"80",2,2014-08-18,22.5,29,25.75,79,79,79,1.3,2,25.75,NA,-999
"81",2,2014-08-19,22,30,26,84.67,84.67,84.67,52.1,2,26,NA,-999
"82",2,2014-08-20,19.5,29.5,24.5,76,76,76,0,2,24.5,NA,-999
"83",2,2014-08-21,22,31,26.5,76.33,76.33,76.33,0,2,26.5,NA,-999
"84",2,2014-08-22,22,30,26,77,77,77,45.1,2,26,NA,-999
"85",2,2014-08-23,20.5,29,24.75,77,77,77,31.9,2,24.75,NA,-999
"86",2,2014-08-24,22,31.5,26.75,76.67,76.67,76.67,0,2,26.75,NA,-999
"87",2,2014-08-25,22,31.5,26.75,76.67,76.67,76.67,0,2,26.75,NA,-999
"88",2,2014-08-26,22.5,29.5,26,91,91,91,14,2,26,NA,-999
"89",2,2014-08-27,19.5,28.5,24,82,82,82,4.7,2,24,NA,-999
"90",2,2014-08-28,20.5,31,25.75,82,82,82,0,2,25.75,NA,-999
"91",2,2014-08-29,22.5,33,27.75,71,71,71,0,2,27.75,NA,-999
"92",2,2014-08-30,24,32.5,28.25,77.33,77.33,77.33,7.4,2,28.25,NA,-999
"93",2,2014-08-31,21,31,26,71.67,71.67,71.67,0,2,26,NA,-999
"94",2,2014-09-01,23,26.5,24.75,89.33,89.33,89.33,14.7,2,24.75,NA,-999
"95",2,2014-09-02,20,27.5,23.75,81.33,81.33,81.33,0,2,23.75,NA,-999
"96",2,2014-09-03,23,28,25.5,80.33,80.33,80.33,0,2,25.5,NA,-999
"97",2,2014-09-04,20.5,32,26.25,71.67,71.67,71.67,30.9,2,26.25,NA,-999
"98",2,2014-09-05,20.5,26.5,23.5,84,84,84,0,2,23.5,NA,-999
"99",2,2014-09-06,21,28.3,24.65,79,79,79,1.4,2,24.65,NA,-999
