"","wscode","weatherdate","tmin","tmax","tmoy","rhmin","rhmax","rhmoy","rainfall","windtot","radiation","sunshine","eto"
"1",380114,2015-05-31,24.5,34.8,29.65,39,85,62,0,2.07,10.7364737704142,0.8,4.31489162432949
"2",380114,2015-06-01,24.5,37.5,31,35,84,59.5,0,2.076,20.301336545262,7.2,6.13502998722283
"3",380114,2015-06-02,25.5,36,30.75,43,81,62,0,2.264,18.050272293663,5.7,5.61993513725159
"4",380114,2015-06-03,25,39,32,21,84,52.5,0,2.358,20.2816446923886,7.2,6.99861916483737
"5",380114,2015-06-04,22,37.8,29.9,22,87,54.5,0,2.304,23.4057120627109,9.3,7.11519911224472
"6",380114,2015-06-05,21,36.5,28.75,26,88,57,0,2.126,23.5438538713073,9.4,6.64500601000844
"7",380114,2015-06-06,22,37,29.5,28,75,51.5,0,1.94,22.1918878033286,8.5,6.43368582118871
"8",380114,2015-06-07,23.5,40,31.75,15,68,41.5,0,2.072,23.8209030383136,9.6,7.55687787429053
"9",380114,2015-06-08,24,39.5,31.75,26,77,51.5,0,2.314,20.6846422914298,7.5,7.01431412687598
"10",380114,2015-06-09,23.7,39.7,31.7,28,84,56,0,2.096,22.3135739473838,8.6,6.89632094166997
"11",380114,2015-06-10,23.7,38.8,31.25,29,79,54,0,2.154,22.9002634513471,9,6.94598954464957
"12",380114,2015-06-11,24.2,39.7,31.95,29,84,56.5,0,2.258,23.1895664398986,9.2,7.17047994948773
"13",380114,2015-06-12,24.5,40.5,32.5,24,87,55.5,0,2.028,23.3305184759194,9.3,7.15044686245979
"14",380114,2015-06-13,24.5,37.7,31.1,33,83,58,0,2.198,18.5698533373232,6.1,6.07756518195231
"15",380114,2015-06-14,24,36.5,30.25,37,88,62.5,0,1.994,9.50671364405562,0,4.23596247976295
"16",380114,2015-06-15,25.5,35.7,30.6,40,87,63.5,0,2.134,9.50498786835019,0,4.18675925806422
"17",380114,2015-06-16,24.7,37,30.85,41,86,63.5,0,2.21,15.587950463893,4.1,5.28176694422073
"18",380114,2015-06-17,26,37,31.5,44,85,64.5,0,2.328,18.5522311395207,6.1,5.7642641924753
"19",380114,2015-06-18,25,38.5,31.75,27,87,57,0,2.29,18.8454972586244,6.3,6.42980988815451
"20",380114,2015-06-19,23.2,37,30.1,39,86,62.5,0,2.296,21.2153467311728,7.9,6.23050067736375
"21",380114,2015-06-20,23.8,37.3,30.55,39,93,66,0,2.122,21.8054856970781,8.3,6.14668589080243
"22",380114,2015-06-21,25.5,39.4,32.45,41,88,64.5,0,2.29,23.8786325685179,9.7,6.9089908222431
"23",380114,2015-06-22,25.5,38.3,31.9,35,88,61.5,0,2.056,22.5421439841929,8.8,6.51836870857573
"24",380114,2015-06-23,24.5,40.3,32.4,37,84,60.5,0,2.164,17.9450396033957,5.7,6.13310333038407
"25",380114,2015-06-24,25.5,38.7,32.1,37,85,61,0,2.238,22.5395810129621,8.8,6.70808138166456
"26",380114,2015-06-25,25.5,36,30.75,43,84,63.5,0,2.254,15.4235145712959,4,5.16202816180474
"27",380114,2015-06-26,23.8,36.5,30.15,34,92,63,0,2.154,22.0944543583996,8.5,6.25210478625607
"28",380114,2015-06-27,23,37,30,30,94,62,0,1.864,23.1328548654151,9.2,6.28282260829247
"29",380114,2015-06-28,24,37.5,30.75,28,85,56.5,0,1.904,21.058211109926,7.8,6.22488836233979
"30",380114,2015-06-29,23.8,38.5,31.15,28,83,55.5,0,2.116,21.3562713803983,8,6.62730952654853
"31",380114,2015-06-30,25.5,38,31.75,38,84,61,1.7,2.048,21.6549049167756,8.2,6.3128306344659
"32",380114,2015-07-01,21.7,37,29.35,35,92,63.5,0,1.88,21.0640181107904,7.8,5.88970997818613
"33",380114,2015-07-02,25.3,39.5,32.4,32,84,58,0,2.066,20.9184861739553,7.7,6.54250096342771
"34",380114,2015-07-03,25.7,37,31.35,38,82,60,0,1.794,14.5394162764351,3.4,4.91537439895234
"35",380114,2015-07-04,25.8,36.4,31.1,37,84,60.5,0,1.67,17.5106247742093,5.4,5.21042700391042
"36",380114,2015-07-05,26,38,32,34,81,57.5,0,1.904,22.4147168662928,8.7,6.43584001426244
"37",380114,2015-07-06,24.9,36.5,30.7,41,88,64.5,0,1.828,16.9226512737825,5,5.11179910737914
"38",380114,2015-07-07,25.4,36.7,31.05,38,82,60,0,2.066,15.1425104674858,3.8,5.21734784783236
"39",380114,2015-07-08,25.3,36,30.65,42,84,63,73.8,1.864,14.6993702807997,3.5,4.78085517322219
"40",380114,2015-07-09,21.9,39,30.45,69,96,82.5,3.2,1.768,9.64477314518816,0.1,3.14747213799379
"41",380114,2015-07-10,24,32.6,28.3,58,97,77.5,0,1.636,15.3007036155179,3.9,3.91995733698779
"42",380114,2015-07-11,24.5,34.8,29.65,52,95,73.5,1.1,1.806,21.1110143142249,7.8,5.26534849033017
"43",380114,2015-07-12,25.6,35.6,30.6,46,98,72,21.1,1.716,20.3728710653215,7.3,5.2928382537216
"44",380114,2015-07-13,23,24.7,23.85,55,97,76,0,1.466,20.9756315518811,7.7,4.16249060767678
"45",380114,2015-07-14,25.3,34.6,29.95,54,93,73.5,0,1.782,21.1319249103047,7.8,5.24649693558247
"46",380114,2015-07-15,20.7,33.5,27.1,51,92,71.5,0,1.836,18.4536463999347,6,4.71670689803686
"47",380114,2015-07-16,25,34.7,29.85,52,90,71,0,1.734,23.9838103987963,9.7,5.75331755536244
"48",380114,2015-07-17,24.3,34.7,29.5,51,89,70,0,1.87,21.9020383467186,8.3,5.4946333686532
"49",380114,2015-07-18,25,35.7,30.35,53,92,72.5,7.8,1.748,24.1528322032088,9.8,5.85442700284098
"50",380114,2015-07-19,20.7,31.7,26.2,56,99,77.5,0,1.82,15.1885125375099,3.8,3.87798006142285
"51",380114,2015-07-20,23.7,34.4,29.05,51,94,72.5,0,1.644,20.730932160986,7.5,5.09636739581857
"52",380114,2015-07-21,24.2,34.7,29.45,46,93,69.5,0,1.676,18.3428373511237,5.9,4.8841626094683
"53",380114,2015-07-22,23,34.4,28.7,46,91,68.5,0,1.754,21.7966164659043,8.2,5.42477978749825
"54",380114,2015-07-23,22.4,35,28.7,47,89,68,0,1.826,23.7553947975723,9.5,5.80720309828304
