"","wscode","weatherdate","tmin","tmax","tmoy","rhmin","rhmax","rhmoy","rainfall","windtot","radiation","sunshine","eto"
"1",4,2016-05-31,26,39,32.5,20,60,35,0,1.2,22,8.3342381202,5.9473405586
"2",4,2016-06-01,26,39,32.5,30,75,50,0,1.2,22,8.3416701624,5.7778071209
"3",4,2016-06-02,26,39,32.5,30,75,50,0,1.2,22,8.3488949052,5.7773792413
"4",4,2016-06-03,26,39,32.5,30,75,50,0,1.2,22,8.3558984446,5.7769580958
"5",4,2016-06-04,26,39,32.5,30,75,50,0,1.2,22,8.362667446,5.7765448735
"6",4,2016-06-05,26,39,32.5,30,75,50,0,1.2,22,8.3691891671,5.7761407087
"7",4,2016-06-06,26,39,32.5,30,75,50,0,1.2,22,8.3754514787,5.7757466792
"8",4,2016-06-07,26,39,32.5,30,75,50,0,1.2,22,8.3814428863,5.7753638046
"9",4,2016-06-08,26,39,32.5,30,75,50,0,1.2,22,8.3871525494,5.7749930451
"10",4,2016-06-09,26,39,32.5,30,75,50,0,1.2,22,8.3925703001,5.7746353001
"11",4,2016-06-10,26,39,32.5,30,75,50,0,1.2,22,8.3976866614,5.7742914069
"12",4,2016-06-11,26,39,32.5,30,75,50,0,1.2,22,8.4024928633,5.7739621392
"13",4,2016-06-12,26,39,32.5,30,75,50,0,1.2,22,8.4069808583,5.7736482064
"14",4,2016-06-13,26,39,32.5,30,75,50,0,1.2,22,8.4111433359,5.7733502524
"15",4,2016-06-14,26,39,32.5,30,75,50,0,1.2,22,8.414973735,5.7730688545
"16",4,2016-06-15,26,39,32.5,30,75,50,0,1.2,22,8.4184662562,5.772804523
"17",4,2016-06-16,26,39,32.5,30,75,50,0,1.2,22,8.4216158712,5.7725576998
"18",4,2016-06-17,26,39,32.5,30,75,50,0,1.2,22,8.4244183326,5.7723287587
"19",4,2016-06-18,26,39,32.5,30,75,50,0,1.2,22,8.4268701806,5.7721180036
"20",4,2016-06-19,26,39,32.5,30,75,50,0,1.2,22,8.4289687493,5.7719256695
"21",4,2016-06-20,26,39,32.5,30,75,50,0,1.2,22,8.4307121715,5.7717519208
"22",4,2016-06-21,26,39,32.5,30,75,50,0,1.2,22,8.4320993814,5.7715968522
"23",4,2016-06-22,26,39,32.5,30,75,50,0,1.2,22,8.4331301162,5.7714604878
"24",4,2016-06-23,26,39,32.5,30,75,50,15,1.2,22,8.4338049165,5.7713427815
"25",4,2016-06-24,26,39,32.5,30,75,50,7,1.2,22,8.4341251248,5.771243617
"26",4,2016-06-25,26,39,32.5,30,75,50,0,1.2,22,8.4340928824,5.7711628079
"27",4,2016-06-26,26,39,32.5,30,75,50,0.5,1.2,22,8.4337111252,5.7711000981
"28",4,2016-06-27,26,39,32.5,30,75,50,0,1.2,22,8.432983578,5.7710551623
"29",4,2016-06-28,26,39,32.5,30,75,50,0,1.2,22,8.4319147471,5.7710276064
"30",4,2016-06-29,26,39,32.5,30,75,50,0,1.2,22,8.4305099115,5.7710169679
"31",4,2016-06-30,26,39,32.5,30,75,50,0,1.2,22,8.4287751132,5.7710227172
"32",4,2016-07-01,24,34,29,50,95,75,0,1,19,6.4051298876,4.3292020026
"33",4,2016-07-02,24,34,29,50,95,75,0,1,19,6.40328961,4.3292256741
"34",4,2016-07-03,24,34,29,50,95,75,0,1,19,6.4012015346,4.3292586426
"35",4,2016-07-04,24,34,29,50,95,75,0,1,19,6.3988732685,4.3293003979
"36",4,2016-07-05,24,34,29,50,95,75,0,1,19,6.3963130075,4.3293503895
"37",4,2016-07-06,24,34,29,50,95,75,0,1,19,6.3935295217,4.3294080273
"38",4,2016-07-07,24,34,29,50,95,75,0,1,19,6.3905321394,4.3294726825
"39",4,2016-07-08,24,34,29,50,95,75,0,1,19,6.3873307304,4.3295436889
"40",4,2016-07-09,24,34,29,50,95,75,2.5,1,19,6.3839356889,4.3296203433
"41",4,2016-07-10,24,34,29,50,95,75,0,1,19,6.3803579155,4.329701907
"42",4,2016-07-11,24,34,29,50,95,75,0,1,19,6.3766087974,4.3297876066
"43",4,2016-07-12,24,34,29,50,95,75,0,1,19,6.3727001901,4.3298766351
"44",4,2016-07-13,24,34,29,50,95,75,0,1,19,6.3686443964,4.3299681533
"45",4,2016-07-14,24,34,29,50,95,75,2,1,19,6.3644541463,4.3300612907
"46",4,2016-07-15,24,34,29,50,95,75,0,1,19,6.3601425754,4.3301551467
"47",4,2016-07-16,24,34,29,50,95,75,0,1,19,6.3557232041,4.3302487921
"48",4,2016-07-17,24,34,29,50,95,75,0,1,19,6.3512099151,4.3303412701
"49",4,2016-07-18,24,34,29,50,95,75,0,1,19,6.3466169314,4.3304315977
"50",4,2016-07-19,24,34,29,50,95,75,3.5,1,19,6.3419587943,4.3305187673
"51",4,2016-07-20,24,34,29,50,95,75,29,1,19,6.3372503402,4.3306017473
"52",4,2016-07-21,23.6,30.1,26.85,59,95,85,1,0.65972222222,15.62,4.0773634079,3.3307502511
"53",4,2016-07-22,24.7,33.2,28.95,51.5,89.5,76.5,0,1.1921296296,15.59,4.0541333349,3.7609383183
"54",4,2016-07-23,25.4,32.1,28.75,56.5,89.5,77.5,0,1.4467592593,12.44,1.9521266497,3.2564441425
"55",4,2016-07-24,23.6,26.6,25.1,82,94.5,90,22.5,0.69444444444,4.44,0,1.2933425101
"56",4,2016-07-25,22.9,32.4,27.65,56.5,94.5,81.5,1.5,0.56712962963,16.33,4.5369907058,3.546996531
"57",4,2016-07-26,23.9,32.9,28.4,53,97.5,76.5,4.5,0.76388888889,20.28,7.1598583329,4.3910895094
"58",4,2016-07-27,23,33.6,28.3,46,93.5,73.5,0,1.087962963,21.01,7.6396502939,4.6570031603
"59",4,2016-07-28,25.7,32.7,29.2,58,90.5,76.5,0,0.63657407407,15.54,4.002397944,3.5731403404
"60",4,2016-07-29,25.2,32,28.6,56.5,88.5,76.5,0,0.71759259259,14.46,3.2830315996,3.3658342846
"61",4,2016-07-30,24.7,34,29.35,50.5,94,81,12,0.46296296296,16.73,4.7858261326,3.7447558517
"62",4,2016-07-31,23.8,30.7,27.25,58.5,94.5,82.5,0,0.54398148148,10.71,0.79425474125,2.5099069136
"63",4,2016-08-01,23.8,34.3,29.05,50,92.5,75,0,0.3125,20.86,7.5139631329,4.4993707331
"64",4,2016-08-02,24.9,34.2,29.55,50.5,92,73.5,0,0.5787037037,18.56,5.9875051046,4.157256144
"65",4,2016-08-03,26.3,34,30.15,51.5,84,70.5,0,1.4814814815,17.61,5.3558758081,4.4722654008
"66",4,2016-08-04,26.1,34,30.05,50,83,68,64.5,1.3773148148,20.73,7.4143137774,5.0002041115
"67",4,2016-08-05,21.8,33.7,27.75,52.5,96.5,84,3,0.63657407407,20.28,7.1130920991,4.2730438123
