"","wscode","weatherdate","tmin","tmax","tmoy","rhmin","rhmax","rhmoy","rainfall","windtot","radiation","sunshine","eto"
"1",3,2013-06-01,25.49,36.47,30.98,54.52,54.52,54.52,0,2.17,18.2,NA,-999
"2",3,2013-06-02,25.32,38.4,31.86,54.93,54.93,54.93,0,2.32,21.6,NA,-999
"3",3,2013-06-03,25.42,36.61,31.02,53.86,53.86,53.86,0,3.44,18.7,NA,-999
"4",3,2013-06-04,25.53,40.48,33.01,49.57,49.57,49.57,0,3.59,21.1,NA,-999
"5",3,2013-06-05,26.72,38.43,32.58,53.75,53.75,53.75,0,2.62,22.6,NA,-999
"6",3,2013-06-06,20.54,33.29,26.92,69.55,69.55,69.55,13.2,2.32,14.4,NA,-999
"7",3,2013-06-07,23.19,37.34,30.27,66.68,66.68,66.68,0,3.29,22.6,NA,-999
"8",3,2013-06-08,23.81,36.94,30.38,64.05,64.05,64.05,0,2.39,19.3,NA,-999
"9",3,2013-06-09,24.48,38.16,31.32,59.63,59.63,59.63,0,2.09,22.2,NA,-999
"10",3,2013-06-10,20.91,30.47,25.69,72.31,72.31,72.31,16,2.24,13.5,NA,-999
"11",3,2013-06-11,23.12,35.18,29.15,70.14,70.14,70.14,0,2.69,21.8,NA,-999
"12",3,2013-06-12,24.84,36.81,30.83,64.49,64.49,64.49,0,2.09,22.6,NA,-999
"13",3,2013-06-13,24.13,38.5,31.32,60.59,60.59,60.59,0,2.17,21.2,NA,-999
"14",3,2013-06-14,23.99,41.69,32.84,50.15,50.15,50.15,0,3.07,23.2,NA,-999
"15",3,2013-06-15,18.39,33.36,25.88,72.18,72.18,72.18,95.3,1.72,17.3,NA,-999
"16",3,2013-06-16,23.5,35.93,29.72,68.15,68.15,68.15,0,1.5,22,NA,-999
"17",3,2013-06-17,21.06,37.08,29.07,66.19,66.19,66.19,4.3,2.32,22.8,NA,-999
"18",3,2013-06-18,23.29,36.07,29.68,62.39,62.39,62.39,0,2.24,21.5,NA,-999
"19",3,2013-06-19,19.07,30.7,24.89,77.02,77.02,77.02,29.2,2.09,11.6,NA,-999
"20",3,2013-06-20,23.19,35.12,29.16,72.63,72.63,72.63,0,2.54,22.6,NA,-999
"21",3,2013-06-21,23.94,36,29.97,67.81,67.81,67.81,0,3.74,23,NA,-999
"22",3,2013-06-22,23.22,35.73,29.48,59.06,59.06,59.06,0,2.24,22.6,NA,-999
"23",3,2013-06-23,20.33,36.17,28.25,65.26,65.26,65.26,5.3,1.8,21.8,NA,-999
"24",3,2013-06-24,23.6,38,30.8,62.57,62.57,62.57,0,3.14,23.6,NA,-999
"25",3,2013-06-25,23.26,36.61,29.94,65.86,65.86,65.86,0,2.62,21.8,NA,-999
"26",3,2013-06-26,24.33,38.03,31.18,59.71,59.71,59.71,0,2.62,22.5,NA,-999
"27",3,2013-06-27,22.03,33.72,27.88,66.77,66.77,66.77,1.5,1.87,18.5,NA,-999
"28",3,2013-06-28,21.82,35.72,28.77,68.92,68.92,68.92,34.5,2.32,20.3,NA,-999
"29",3,2013-06-29,21.72,33.62,27.67,71.95,71.95,71.95,0.8,2.17,20.9,NA,-999
"30",3,2013-06-30,22.99,32.68,27.84,73.7,73.7,73.7,0,2.09,21.7,NA,-999
"31",3,2013-07-01,19.77,30.98,25.38,73.51,73.51,73.51,38.4,2.32,14.1,NA,-999
"32",3,2013-07-02,21.69,30.67,26.18,77.46,77.46,77.46,6.9,2.54,16,NA,-999
"33",3,2013-07-03,21.69,34.28,27.99,73.16,73.16,73.16,0,1.94,21,NA,-999
"34",3,2013-07-04,22.16,31.8,26.98,73.52,73.52,73.52,0,2.47,17.8,NA,-999
"35",3,2013-07-05,19.95,35.11,27.53,70.59,70.59,70.59,6.5,2.84,22.9,NA,-999
"36",3,2013-07-06,20.2,30.52,25.36,72.19,72.19,72.19,0,1.57,14.6,NA,-999
"37",3,2013-07-07,21.93,34.44,28.19,70.36,70.36,70.36,0,1.42,18.3,NA,-999
"38",3,2013-07-08,22.03,34.78,28.41,71.45,71.45,71.45,20.6,1.65,22,NA,-999
"39",3,2013-07-09,21.34,31.02,26.18,76.26,76.26,76.26,0,2.02,16.5,NA,-999
"40",3,2013-07-10,22.3,32.03,27.17,74.86,74.86,74.86,0,2.17,22.3,NA,-999
"41",3,2013-07-11,22.75,31.94,27.35,78.89,78.89,78.89,2.5,1.87,16.8,NA,-999
"42",3,2013-07-12,22.2,30.81,26.51,76.93,76.93,76.93,17.6,2.39,16.9,NA,-999
"43",3,2013-07-13,22,34.3,28.15,50.5,97,73.75,0,0.63,25.5,NA,-999
"44",3,2013-07-14,25.6,33.8,29.7,57.5,90,73.75,0,1.08,20.46,NA,-999
"45",3,2013-07-15,25.2,33.6,29.4,55,91.5,73.25,0,1.06,19.94,NA,-999
"46",3,2013-07-16,26.4,36.3,31.35,41,89,65,0,0.91,22.64,NA,-999
"47",3,2013-07-17,24.8,32.8,28.8,59,93.5,76.25,0,0.68,12.49,NA,-999
"48",3,2013-07-18,25.8,35.5,30.65,46.5,93,69.75,0.5,1.28,20.65,NA,-999
"49",3,2013-07-19,24.8,36.6,30.7,40,91.5,65.75,0,0.83,24.68,NA,-999
"50",3,2013-07-20,25.5,36.5,31,43,97,70,29,1,24.21,NA,-999
"51",3,2013-07-21,21.8,32.8,27.3,57.5,97.5,77.5,12,0.49,18.14,NA,-999
"52",3,2013-07-22,22.2,33.1,27.65,59,97.5,78.25,0,0.63,20.61,NA,-999
"53",3,2013-07-23,24.2,33.1,28.65,53.5,92,72.75,0,0.66,22.12,NA,-999
