"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2457218,31,0.5875,8.8125,13.09,275.675,NA,NA
2457232,45,1.28,12.6875,35.495,1209,NA,NA
2457246,59,1.5275,16.3125,103.625,2498.1,NA,NA
2457260,73,1.8425,20.6225,166.4775,6424.9,NA,NA
2457272.25,84.25,1.85,23.61,227.75,9767.375,NA,NA
2457280.75,92.75,1.995,24,216.83,9210.96666666667,NA,NA
2457286.75,98.75,2.79,24.4166666666667,346.416666666667,12208.55,NA,NA
2457291,103,1.63333333333333,24.66,336.33,3303.25,NA,NA
2457311.25,124,1.61,NA,NA,26848.1,714.333333333333,7088
2457324,137,NA,NA,NA,NA,417,7227
