"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2456518,27,NA,11.775,16.525,NA,NA,NA
2456520,29,NA,NA,NA,222,NA,NA
2456525,35,NA,14.775,27.275,NA,NA,NA
2456526,35,NA,NA,NA,NA,NA,NA
2456527,36,NA,NA,NA,618.25,NA,NA
2456532,42,NA,16.925,46,NA,NA,NA
2456533,42,NA,NA,NA,NA,NA,NA
2456534,43,NA,NA,NA,1413.625,NA,NA
2456539,49,NA,19.075,61.9,NA,NA,NA
2456540,49,NA,NA,NA,NA,NA,NA
2456541,50,NA,NA,NA,2329.75,NA,NA
2456547,56,NA,21.025,98.9,NA,NA,NA
2456547,56,NA,NA,NA,NA,NA,NA
2456548,57,NA,NA,NA,4133.5,NA,NA
2456548,57,1.95,NA,NA,NA,NA,NA
2456553,63,NA,22.825,123.175,NA,NA,NA
2456554,63,NA,NA,NA,NA,NA,NA
2456555,64,NA,NA,NA,2875,NA,NA
2456560,70,NA,25.1,151.625,NA,NA,NA
2456561,70,NA,NA,NA,NA,NA,NA
2456562,71,NA,NA,NA,5122.25,NA,NA
2456562,71,3.225,NA,NA,NA,NA,NA
2456567,77,NA,26.075,187.45,NA,NA,NA
2456568,77,NA,NA,NA,NA,NA,NA
2456569,78,NA,NA,NA,8240.25,NA,NA
2456569,78,3.05,NA,NA,NA,NA,NA
2456574,84,NA,27.2,217.125,NA,NA,NA
2456575,84,NA,NA,NA,NA,NA,NA
2456576,85,NA,NA,NA,7203.25,NA,NA
2456582,91,NA,NA,NA,NA,NA,NA
2456584,93,NA,NA,NA,6763.25,NA,NA
2456584,93,2.9,NA,NA,NA,NA,NA
2456589,98,NA,NA,NA,NA,NA,NA
2456596,105,NA,NA,NA,NA,NA,NA
2456603,112,NA,NA,NA,NA,NA,NA
2456610,119,NA,NA,NA,NA,NA,NA
2456612,121,NA,NA,NA,8524.75,NA,NA
2456612,121,2.7,NA,NA,NA,NA,NA
2456617,126,NA,NA,NA,NA,NA,NA
2456630,139,NA,NA,NA,NA,NA,NA
2456609.5,118.5,NA,NA,NA,NA,1662.4025,14321.315
