"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2456842,26,0.1225,7.375,9.9775,77.8025,NA,NA
2456856,40,0.64,12.3125,17.7075,310.945,NA,NA
2456870,54,1.4925,15.4375,84.11,2142.195,NA,NA
2456883,67,1.8775,16.75,79.79,4343.68,NA,NA
2456898,82,2.74,22.8125,160.415,7955.2875,NA,NA
2456913,97,1.9275,24.5625,222.5325,6007.87,NA,NA
2456926,110,2.38,26.8125,276.98,11088.925,NA,NA
2456941,125,1.89333333333333,30.75,397.3125,7207.21,NA,NA
2456954,138,1.18,NA,NA,3378.465,NA,NA
2456987,171,NA,NA,NA,NA,1598.75,20440.5
