"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2457270,22,NA,NA,NA,NA,NA,NA
2457271,23,NA,NA,NA,5.9,NA,NA
2457271,23,0.3,NA,NA,NA,NA,NA
2457282,34,NA,NA,NA,NA,NA,NA
2457283,35,NA,NA,NA,85.175,NA,NA
2457283,35,0.45,NA,NA,NA,NA,NA
2457296,48,NA,NA,NA,NA,NA,NA
2457297,49,NA,NA,NA,686.975,NA,NA
2457297,49,0.8,NA,NA,NA,NA,NA
2457326.5,78.5,NA,NA,NA,NA,NA,NA
2457335,87,NA,NA,NA,7331.26666666667,NA,NA
2457337,89,1.83333333333333,NA,NA,7053.1,NA,NA
2457338.5,90.5,2.1,NA,NA,NA,NA,NA
2457351,103,NA,NA,NA,9383.75,NA,NA
2457351,103,1.2,NA,NA,NA,NA,NA
2457359.5,111.5,NA,NA,NA,8730.9,NA,NA
2457359.5,111.5,1.83333333333333,NA,NA,NA,NA,NA
2457367,119,1.1,NA,NA,7228.66666666667,NA,NA
2457359.5,111.5,NA,NA,NA,NA,1503.3,5930.25
