"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2457263,20,NA,NA,NA,NA,NA,NA
2457264,21,NA,NA,NA,47.9,NA,NA
2457264,21,0.375,NA,NA,NA,NA,NA
2457275,32,NA,NA,NA,NA,NA,NA
2457276,33,NA,NA,NA,332.825,NA,NA
2457276,33,0.5,NA,NA,NA,NA,NA
2457286,43,NA,NA,NA,1314.075,NA,NA
2457286,43,0.825,NA,NA,NA,NA,NA
2457305,62,NA,NA,NA,NA,NA,NA
2457306,63,NA,NA,NA,4109.4,NA,NA
2457306,63,1,NA,NA,NA,NA,NA
2457315,72,NA,NA,NA,7578.15,NA,NA
2457315,72,NA,NA,NA,NA,NA,NA
2457315,72,1.175,NA,NA,NA,NA,NA
2457325,82,NA,NA,NA,NA,NA,NA
2457338,95,NA,NA,NA,7968.25,NA,NA
2457338,95,1.75,NA,NA,NA,NA,NA
2457343,100,NA,NA,NA,NA,1715.825,9538.6
