"obsplantdate","nbjas","lai","leavesnumber","plantheight","drymatabovegroundpop","grainyieldpop","drymatabovegroundpopfin"
2456483,25,0.5075,8.875,76.5,333.335,NA,NA
2456493,35,1.8725,11.875,115.8125,860,NA,NA
2456503,45,2.755,13.875,165.6875,3760,NA,NA
2456517,59,3.2625,14.8125,243.6875,15413.335,NA,NA
2456527,69,3.3325,18.6875,272.0625,18206.665,NA,NA
2456538,80,NA,20.8125,297.5625,16153.335,NA,NA
2456552,94,NA,24.5,357.1875,15780,NA,NA
2456566,108,NA,26.9375,382.875,20733.335,NA,NA
2456580,122,NA,29.5625,459.0625,26506.6675,NA,NA
2456613,155,NA,NA,NA,NA,1721,22389.25
