ID	GRIDCODE	X	Y	geometry
46124	5	-16.59	12.35	"c(-16.59, 12.35)"
46125	17	-16.59	12.7	"c(-16.59, 12.7)"
46125	17	-16.59	13.05	"c(-16.59, 13.05)"
45658	5	-16.59	13.75	"c(-16.59, 13.75)"
45547	17	-16.59	14.1	"c(-16.59, 14.1)"
45513	26	-16.59	14.45	"c(-16.59, 14.45)"
45513	26	-16.59	14.8	"c(-16.59, 14.8)"
45513	26	-16.59	15.15	"c(-16.59, 15.15)"
45513	26	-16.59	15.5	"c(-16.59, 15.5)"
46394	11	-16.09	12	"c(-16.09, 12)"
46175	11	-16.09	12.35	"c(-16.09, 12.35)"
46125	17	-16.09	12.7	"c(-16.09, 12.7)"
46125	17	-16.09	13.05	"c(-16.09, 13.05)"
46125	17	-16.09	13.4	"c(-16.09, 13.4)"
45659	25	-16.09	13.75	"c(-16.09, 13.75)"
45513	26	-16.09	14.1	"c(-16.09, 14.1)"
45513	26	-16.09	14.45	"c(-16.09, 14.45)"
45513	26	-16.09	14.8	"c(-16.09, 14.8)"
45513	26	-16.09	15.15	"c(-16.09, 15.15)"
45513	26	-16.09	15.5	"c(-16.09, 15.5)"
45513	26	-16.09	15.85	"c(-16.09, 15.85)"
44674	2	-16.09	16.2	"c(-16.09, 16.2)"
44626	17	-16.09	16.55	"c(-16.09, 16.55)"
44573	26	-16.09	16.9	"c(-16.09, 16.9)"
46394	11	-15.59	12	"c(-15.59, 12)"
46128	11	-15.59	12.35	"c(-15.59, 12.35)"
46125	17	-15.59	12.7	"c(-15.59, 12.7)"
46125	17	-15.59	13.05	"c(-15.59, 13.05)"
46125	17	-15.59	13.4	"c(-15.59, 13.4)"
45663	16	-15.59	13.75	"c(-15.59, 13.75)"
45482	17	-15.59	14.1	"c(-15.59, 14.1)"
45513	26	-15.59	14.45	"c(-15.59, 14.45)"
45513	26	-15.59	14.8	"c(-15.59, 14.8)"
45513	26	-15.59	15.15	"c(-15.59, 15.15)"
45513	26	-15.59	15.5	"c(-15.59, 15.5)"
45513	26	-15.59	15.85	"c(-15.59, 15.85)"
44675	14	-15.59	16.55	"c(-15.59, 16.55)"
	26	-15.59	16.2	
44573	26	-15.59	16.9	"c(-15.59, 16.9)"
46679	11	-15.09	11.3	"c(-15.09, 11.3)"
46456	13	-15.09	11.65	"c(-15.09, 11.65)"
46456	13	-15.09	12	"c(-15.09, 12)"
46456	13	-15.09	12.35	"c(-15.09, 12.35)"
46125	17	-15.09	12.7	"c(-15.09, 12.7)"
46125	17	-15.09	13.05	"c(-15.09, 13.05)"
46125	17	-15.09	13.4	"c(-15.09, 13.4)"
46125	17	-15.09	13.75	"c(-15.09, 13.75)"
45661	16	-15.09	14.1	"c(-15.09, 14.1)"
45450	25	-15.09	14.45	"c(-15.09, 14.45)"
45513	26	-15.09	14.8	"c(-15.09, 14.8)"
45513	26	-15.09	15.15	"c(-15.09, 15.15)"
45513	26	-15.09	15.5	"c(-15.09, 15.5)"
45513	26	-15.09	15.85	"c(-15.09, 15.85)"
45513	26	-15.09	16.2	"c(-15.09, 16.2)"
44576	8	-15.09	16.55	"c(-15.09, 16.55)"
44573	26	-15.09	16.9	"c(-15.09, 16.9)"
46836	2	-14.59	10.6	"c(-14.59, 10.6)"
46836	2	-14.59	10.95	"c(-14.59, 10.95)"
46839	14	-14.59	11.3	"c(-14.59, 11.3)"
